鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
鹿谷鄉,土地,廣興段361~390地號,11.6,都市：其他:住宅區,,,1090922,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,525000,45259,,0.0,0,,RPUNMLNLRHPFFDM57DA,0.0,0.0,0.0,無,
埔里鎮,土地,新生段151~180地號,140.22,,特定農業區,甲種建築用地,1090804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2282200,16276,,0.0,0,,RPSNMLSKRHPFFCM67DA,0.0,0.0,0.0,無,0062
魚池鄉,土地,平和段1081~1110地號,707.14,,特定專用區,特定目的事業用地,1090819,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,2545,,0.0,0,,RPTNMLLLRHPFFCM17DA,0.0,0.0,0.0,無,0073
埔里鎮,土地,小埔社段211~240地號,312.0,,山坡地保育區,丙種建築用地,1090821,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5450000,17468,,0.0,0,未登記建物;,RPTNMLNJRHPFFCM17DA,0.0,0.0,0.0,無,0074
魚池鄉,土地,加道坑段91~120地號,58.0,,特定農業區,特定目的事業用地,1090904,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,210540,3630,,0.0,0,高壓鐵塔用地買賣,RPRNMLOJRHPFFCM07DA,0.0,0.0,0.0,無,
魚池鄉,土地,加道坑段91~120地號,120.0,,特定農業區,特定目的事業用地,1090904,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,435600,3630,,0.0,0,高壓鐵塔用地買賣,RPSNMLOJRHPFFCM17DA,0.0,0.0,0.0,無,
國姓鄉,土地,墘溝段1651~1680地號,22085.0,,山坡地保育區,農牧用地,1090914,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1400000,63,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPQNMLOLRHPFFCM17DA,0.0,0.0,0.0,無,
竹山鎮,土地,安定段271~300地號,27.6,都市：其他:住宅區,,,1090922,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,384000,13913,,0.0,0,,RPPNMLOLRHPFFDM17DA,0.0,0.0,0.0,無,
竹山鎮,房地(土地+建物),延和巷1~30號,125.75,都市：其他:住宅區,,,1090822,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0840119,215.14,3,2,3,有,無,5200000,24170,,0.0,0,,RPSNMLPLRHPFFDM57DA,201.67,4.83,8.64,無,
竹山鎮,土地,南雲段31~60地號,2321.67,,鄉村區,乙種建築用地,1090703,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,43000000,18521,,0.0,0,,RPUNMLKLQHPFFDM17DA,0.0,0.0,0.0,無,
草屯鎮,房地(土地+建物),建興二街1~30號,76.2,都市：其他:住宅區,,,1090817,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1080613,176.37,5,2,5,有,無,14300000,81080,,0.0,0,,RPPNMLSJRHPFFBM17DA,160.47,0.0,15.9,無,
草屯鎮,土地,保安段511~540地號,304.33,,一般農業區,甲種建築用地,1090711,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14729000,48398,,0.0,0,,RPQNMLNLRHPFFBM96DA,0.0,0.0,0.0,無,0075
草屯鎮,土地,保安段541~570地號,119.3,,鄉村區,乙種建築用地,1090711,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5774000,48399,,0.0,0,,RPSNMLNLRHPFFBM17DA,0.0,0.0,0.0,無,
