交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物),中山南路800巷138弄31~60號,1090831,土地1建物1車位0,,五層,公寓(5樓含以下無電梯),26,144.42,4,2,2,有,有,3500000,24235,0,02207
土地,榔段下榔小段571~600地號,1040130,土地3建物0車位0,,,其他,-1,0.0,0,0,0,有,無,7000000,3723,0,02208
土地,榔段下榔小段571~600地號,1061230,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1900000,3725,0,02208
土地,榔段下榔小段571~600地號,1090830,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1900000,3725,0,02208
土地,橫山段湳子小段151~180地號,1090822,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,51230000,40853,0,02209
土地,橫山段湳子小段151~180地號,1090922,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,53515700,42676,0,02209
土地,竹圍段海方厝小段271~300地號,1011112,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,24994270,16032,0,02210
土地,竹圍段海方厝小段271~300地號,1020412,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,43380000,27826,0,02210
土地,竹圍段海方厝小段271~300地號,1020612,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,47150000,30244,0,02210
土地,竹圍段海方厝小段271~300地號,1080112,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,4000000,18823,0,02210
土地,竹圍段海方厝小段271~300地號,1080112,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,4500000,21175,0,02210
土地,竹圍段海方厝小段271~300地號,1091012,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,8600000,20234,0,02210
土地,竹圍段海方厝小段271~300地號,1091012,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,16880000,30786,0,02210
土地,竹圍段海方厝小段271~300地號,1091012,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,15320000,26159,0,02210
房地(土地+建物),桃園縣蘆竹鄉六福路247巷2弄1~30號,1021226,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),26,131.24,3,2,2,有,有,5650000,50727,0,02212
房地(土地+建物)+車位,六福路247巷2弄1~30號,1090926,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),26,131.24,3,1,2,有,有,6180000,47089,0,02212
土地,富興段661~690地號,1020209,土地9建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3300000,8976,0,02213
土地,富興段631~660地號,1020209,土地9建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3840000,6957,0,02213
土地,富興段631~660地號,1020309,土地9建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1500000,8153,0,02213
土地,富興段661~690地號,1021109,土地8建物0車位0,,,其他,-1,0.0,0,0,0,有,無,484278,13558,0,02213
土地,富興段661~690地號,1091009,土地4建物0車位0,,,其他,-1,0.0,0,0,0,有,無,621386,38052,0,02213
土地,竹圍段崁下小段181~210地號,1020423,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,15500000,42700,0,02214
土地,竹圍段崁下小段181~210地號,1090923,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,8900000,66917,0,02214
土地,坑子口段頭前小段391~420地號,1070705,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,14000000,5600,0,02215
土地,坑子口段頭前小段391~420地號,1070805,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,39320000,15728,0,02215
土地,坑子口段頭前小段391~420地號,1071105,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,44618000,17847,0,02215
土地,坑子口段頭前小段391~420地號,1090805,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,54300000,21720,0,02215
土地,大牛稠段大牛稠小段751~780地號,1090102,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,76000000,18775,0,02216
土地,大牛稠段大牛稠小段751~780地號,1090902,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,111000000,27421,0,02216
土地,沙崙段沙崙小段571~600地號,1020614,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,35247900,29645,0,02217
土地,沙崙段沙崙小段571~600地號,1050714,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,33710000,28352,0,02217
土地,沙崙段沙崙小段571~600地號,1090614,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,35824211,30130,0,02217
土地,沙崙段沙崙小段571~600地號,1091014,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,43350000,36459,0,02217
土地,埔心段埔心小段1591~1620地號,1010906,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,14780000,13762,0,02218
土地,埔心段埔心小段1591~1620地號,1030506,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,22930000,22681,0,02218
土地,埔心段埔心小段1591~1620地號,1091006,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,35300000,32868,0,02218
房地(土地+建物)+車位,桃園市蘆竹區六褔路241~270號,1040829,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),23,194.25,4,2,2,有,有,11600000,59717,0,02219
房地(土地+建物)+車位,六福路241~270號,1090929,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),23,194.25,4,2,2,有,有,12300000,63320,0,02219
土地,坑子口段頭前小段601~630地號,1011205,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,5084000,12076,0,02220
土地,坑子口段頭前小段601~630地號,1040305,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1000000,11876,0,02220
土地,坑子口段頭前小段601~630地號,1090805,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3247000,38563,0,02220
土地,坑子口段頭前小段601~630地號,1090905,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,6430000,25455,0,02220
土地,橫山段尖山小段31~60地號,1090605,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,12382500,19639,0,02221
土地,橫山段尖山小段31~60地號,1090705,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,12968000,20568,0,02221
土地,橫山段尖山小段31~60地號,1090805,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,13153000,20861,0,02221
土地,沙崙段後厝小段751~780地號,1081014,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,7800000,16445,0,02222
土地,沙崙段後厝小段751~780地號,1090314,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,11760000,24794,0,02222
土地,沙崙段後厝小段751~780地號,1091014,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,11908000,25106,0,02222
土地,橫山段橫山小段1~30地號,1090605,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2920000,21523,0,02223
土地,橫山段橫山小段1~30地號,1091005,土地4建物0車位0,,,其他,-1,0.0,0,0,0,有,無,90250000,47301,0,02223
土地,橫山段尖山小段61~90地號,1020529,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,47202000,20267,0,02224
土地,橫山段尖山小段61~90地號,1090929,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,61830000,26548,0,02224
房地(土地+建物),沙崙村9鄰沙崙61~90號,1090715,土地1建物1車位0,全,二層,透天厝,27,216.03,5,2,2,有,無,17000000,64661,0,02225
房地(土地+建物),沙崙村9鄰沙崙61~90號,1090915,土地1建物1車位0,全,二層,透天厝,27,216.03,6,3,3,有,無,16600000,76841,0,02225
房地(土地+建物),桃園市大園區國際路一段697巷109弄1~30號,1050307,土地1建物1車位0,全,四層,透天厝,26,229.19,5,2,3,有,無,6310000,27532,0,02226
房地(土地+建物),桃園市大園區國際路一段697巷109弄1~30號,1070907,土地1建物1車位0,全,四層,透天厝,26,229.19,4,3,3,有,無,8320000,36302,0,02226
房地(土地+建物),國際路一段697巷109弄1~30號,1091007,土地3建物1車位0,全,四層,透天厝,26,229.19,5,2,3,有,無,8750000,38178,0,02226
土地,大牛稠段倒厝子小段601~630地號,1090207,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1030000,17891,0,02227
