鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
卓溪鄉,土地,古風段1621~1650地號,233.0,,山坡地保育區,丙種建築用地,1090924,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12000,52,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPQNMLTLRHPFFCU58EA,0.0,0.0,0.0,無,
富里鄉,土地,馬里旺段91~120地號,3342.62,,特定農業區,農牧用地,1090917,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,1197,,0.0,0,,RPPNMLSJIIPFFCU37EA,0.0,0.0,0.0,無,
玉里鎮,土地,德武段961~990地號,2285.06,,山坡地保育區,農牧用地,1090924,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,656,,0.0,0,,RPRNMLRJIIPFFCU37DA,0.0,0.0,0.0,無,
富里鄉,土地,大里段1261~1290地號,22716.0,,山坡地保育區,農牧用地,1090806,土地12建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2400000,106,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPQNMLPJIIPFFCU07DA,0.0,0.0,0.0,無,
吉安鄉,房地(土地+建物),勝安一街1~30號,120.0,住,,,1090910,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0870803,269.81,5,2,6,有,無,12740000,47218,,0.0,0,,RPVOMLSJIIPFFAU87EA,248.78,0.0,21.0,無,0144
壽豐鄉,房地(土地+建物),仁愛街15巷1~30號,70.94,,鄉村區,乙種建築用地,1090829,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0840914,159.33,4,2,2,有,無,3550000,22281,,0.0,0,,RPQOMLSLRHPFFAU28DA,135.53,8.82,14.98,無,0145
花蓮市,房地(土地+建物),林森路211~240號,10.09,商,,,1090831,土地11建物1車位0,十層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0700903,91.97999999999999,0,0,0,無,有,3980000,43270,,0.0,0,,RPXOMLSJIIPFFAU97DA,72.94,0.0,0.0,有,
花蓮市,房地(土地+建物),沙基拉雅街39巷30弄61~90號,81.72,,一般農業區,甲種建築用地,1090921,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0860819,191.25,4,4,4,有,無,5550000,29020,,0.0,0,,RPUPMLQJIIPFFAU57DA,180.95,0.0,10.3,無,0146
花蓮市,房地(土地+建物),德安二街68巷1~30號,13.32,都市：其他:住宅區,,,1090913,土地1建物1車位0,五層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0841104,74.86,2,2,2,有,有,3220000,43014,,0.0,0,,RPSPMLSJIIPFFAU57DA,46.97,0.0,6.44,有,
吉安鄉,土地,太昌段931~960地號,5638.0,商,,,1090731,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,299987670,53208,,0.0,0,,RPWPMLSJIIPFFAU97DA,0.0,0.0,0.0,無,
吉安鄉,房地(土地+建物),中華路二段91~120號,37.01,商,,,1090910,土地1建物2車位0,一層，二層，騎樓,十四層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0831028,400.65,0,0,4,有,有,23000000,57407,,0.0,0,,RPPOMLQJIIPFFAU96DA,297.02,3.47,7.88,有,
吉安鄉,房地(土地+建物),慈惠四街236巷27弄1~30號,131.5,住,,,1090904,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1020502,249.87,4,1,4,有,無,15000000,60031,,0.0,0,,RPQOMLRJIIPFFAU17DA,231.08,0.0,18.79,無,0147
