鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
暖暖區,房地(土地+建物)+車位,碇內街121~150號,23.56,都市：其他:住宅區(住二),,,1090711,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980624,138.81,2,2,1,有,有,5900000,42504,坡道平面,28.62,0,,RPSOMLPJQHPFFCC88DA,66.44,0.0,13.23,有,
安樂區,房地(土地+建物)+車位,基金二路1巷181~210號,24.73,都市：其他:住宅區(住三),,,1090811,土地2建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820107,173.68,4,2,2,有,有,5100000,29364,坡道平面,44.14,0,,RPSOMLKKRHPFFCC58DA,104.12,0.0,10.01,有,0004
中山區,房地(土地+建物),中山二路51巷31~60號,19.0,都市：其他:住宅區,,,1090802,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730810,61.16,2,1,1,有,無,1300000,21256,,0.0,0,其他增建;,RPQNMLQJRHPFFCC78DA,61.16,0.0,0.0,無,
信義區,房地(土地+建物)+車位,深澳坑路172巷61~90號,32.33,都市：其他:住宅區(住四),,,1090709,土地1建物1車位1,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0870610,134.48000000000002,3,2,2,有,無,3700000,27513,坡道平面,0.0,0,其他增建;,RPXOMLSJRHPFFBC07DA,72.14,7.01,0.0,無,
中正區,房地(土地+建物)+車位,新豐街303巷11弄31~60號,25.83,商,,,1090811,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830429,118.99,3,2,2,有,有,4450000,37398,坡道平面,0.0,0,,RPOOMLNJRHPFFBC28DA,65.67,0.0,6.29,有,0005
仁愛區,房地(土地+建物),延平街1~30號,17.7,住,,,1090831,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,加強磚造,0591116,54.74,3,1,1,有,無,2200000,40190,,0.0,0,本買賣含未辦保存登記部分一併移轉,RPVPMLRJRHPFFBC86DA,54.74,0.0,0.0,無,0006
信義區,房地(土地+建物),深溪路36巷70弄1~30號,28.38,都市：其他:住宅區(住四),,,1090818,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880120,138.58,4,2,2,有,有,6200000,44740,,0.0,0,,RPPOMLKKRHPFFBC18DA,100.01,9.53,0.0,有,
信義區,房地(土地+建物),深澳坑路151~180號,4.29,都市：其他:住宅區(住四),,,1090831,土地1建物1車位0,三層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840127,30.049999999999997,1,0,1,有,有,1200000,39933,,0.0,0,,RPUOMLSJRHPFFBC76DA,22.89,0.9,0.0,有,0007
信義區,房地(土地+建物),東光路32巷1~30號,28.54,住,,,1090806,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750908,92.33,3,2,2,有,無,2500000,27077,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPPOMLLMQHPFFBC38DA,82.96,0.0,9.37,無,
信義區,房地(土地+建物)+車位,深溪路55巷31~60號,25.7,都市：其他:住宅區(住四),,,1090714,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880122,131.14,3,2,2,有,有,6200000,47278,坡道平面,0.0,0,,RPSNMLLJRHPFFBC38DA,71.54,0.0,6.21,有,
信義區,房地(土地+建物),仁一路31~60號,33.0,商,,,1090810,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770123,142.93,4,2,2,有,無,7000000,48975,,0.0,0,,RPXNMLNKQHPFFBC09DA,131.44,0.0,11.49,無,
信義區,房地(土地+建物)+車位,福民街31~60號,56.28,都市：其他:住宅區(住四),,,1060813,土地1建物1車位1,一層，二層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1081206,205.76,4,2,3,有,有,10940000,61964,坡道平面,43.73,900000,,RPXNMLKKQHPFFBC78DA,107.32,0.0,12.52,有,
仁愛區,建物,獅球路44巷31~60號,0.0,,,,1090814,土地0建物1車位0,全,二層,透天厝,住家用,加強磚造,0540800,71.92,3,2,3,有,無,1650000,22942,,0.0,0,土地為國有財產局租約頂樓加蓋;,RPVOMLTKQHPFFBC96DA,71.92,0.0,0.0,無,0008
中正區,房地(土地+建物),中正路631~660號,23.52,住,,,1090720,土地5建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691212,71.25,2,1,1,有,無,2820000,39579,,0.0,0,廚房外推其他增建;,RPWNMLLMQHPFFBC98DA,71.25,0.0,0.0,無,
信義區,房地(土地+建物)+車位,深溪路38巷1~30號,29.58,都市：其他:住宅區(住四),,,1090806,土地1建物1車位1,九層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1061109,119.32,2,1,1,有,有,8200000,68723,坡道平面,24.17,0,,RPSRMLTJRHPFFBC96DA,55.42,2.88,4.7,有,0009
中正區,房地(土地+建物),觀海街61~90號,15.03,住,,,1090726,土地2建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,72.14,2,1,1,有,有,2550000,35348,,0.0,0,,RPPNMLKKRHPFFBC08DA,50.71,0.0,6.7,有,0010
仁愛區,房地(土地+建物),華六街1~30號,15.89,住,,,1090810,土地2建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890718,74.82,2,1,1,有,有,4000000,53462,,0.0,0,,RPXNMLOJRHPFFBC56DA,53.44,0.0,7.53,有,
安樂區,房地(土地+建物)+車位,麥金路301~330號,15.56,都市：其他:住宅區(住一),,,1090723,土地3建物1車位1,十五層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050124,139.33,3,2,2,有,有,11000000,78949,坡道平面,15.87,0,其他增建;,RPOOMLKKRHPFFCC18DA,76.14,2.58,8.34,有,0011
安樂區,房地(土地+建物)+車位,中和路85巷1~30號,13.32,都市：其他:道路用地,,,1090826,土地7建物1車位1,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860508,72.39,3,2,1,有,有,3000000,41442,坡道機械,0.0,0,其他增建;,RPPOMLKKRHPFFCC28DA,37.43,0.43,3.94,有,0012
安樂區,房地(土地+建物),新西街31~60號,28.6,都市：其他:道路用地,,,1090614,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720622,100.36,3,2,2,有,無,2700000,26903,,0.0,0,其他增建;,RPPNMLKKRHPFFCC18DA,86.31,14.05,0.0,無,0013
中山區,房地(土地+建物),文明路31~60號,37.39,都市：其他:住宅區,,,1090807,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830228,109.2,3,2,2,有,無,2300000,21062,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPOPMLKKRHPFFCC28DA,99.3,0.0,7.72,無,
安樂區,房地(土地+建物),中和路168巷10弄1~30號,27.3,都市：其他:住宅區(住三),,,1090815,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840117,105.49000000000001,3,2,2,有,無,2100000,19909,,0.0,0,,RPXNMLOJRHPFFCC66DA,82.07,1.1,8.26,無,
信義區,房地(土地+建物)+車位,深美街200巷1~30號,110.46,都市：其他:住宅區(住一),,,1090719,土地4建物1車位1,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1040602,301.0,3,3,3,有,有,13500000,44850,坡道平面,38.04,0,,RPSNMLOKRHPFFBC88EA,204.1,6.0,21.51,無,
安樂區,房地(土地+建物),基金一路91~120號,13.99,都市：其他:住宅區(住二),,,1090722,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820111,98.55000000000001,3,1,2,有,有,3820000,38762,,0.0,0,,RPQNMLKKRHPFFCC38EA,66.84,2.46,9.07,有,0014
中山區,房地(土地+建物),文化路181~210號,17.2,都市：其他:住宅區(住三),,,1090619,土地1建物1車位0,地下層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0661019,59.7,2,3,2,有,無,1600000,26801,,0.0,0,未登記建物;含租約;,RPPNMLLKRHPFFCC38EA,59.7,0.0,0.0,無,
中山區,房地(土地+建物),復興路259巷61~90號,11.09,都市：其他:道路用地,,,1090829,土地6建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840512,44.980000000000004,1,1,1,有,無,1650000,36683,,0.0,0,,RPPNMLOKRHPFFCC68EA,31.76,0.0,6.48,無,0015
中山區,房地(土地+建物),中山三路103巷121~150號,70.06,都市：其他:住宅區(住二),,,1090714,土地12建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0801115,94.68,3,2,2,有,無,1560000,16477,,0.0,0,,RPSNMLMJRHPFFCC68EA,84.25,0.0,4.53,無,
安樂區,房地(土地+建物),安和一街131巷1~30號,38.05,都市：其他:住宅區,,,1090817,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710621,98.36,3,2,1,有,有,4130000,41989,,0.0,0,,RPSNMLOKRHPFFCC98EA,80.32,0.0,18.04,無,
