交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物),東信路2巷1~30號,1091020,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),30,67.77999999999999,0,0,0,無,無,3850000,56801,0,0410
房地(土地+建物),基隆市中正區北寧路271~300號,1081201,土地2建物1車位0,一層，騎樓，夾層,五層,店面(店鋪),29,57.720000000000006,0,0,0,無,無,4000000,69300,0,0411
房地(土地+建物),北寧路271~300號,1090301,土地2建物1車位0,一層，騎樓，夾層,五層,公寓(5樓含以下無電梯),29,57.720000000000006,0,0,0,無,無,4000000,69300,0,0411
房地(土地+建物)+車位,基隆市中正區新豐街451~480號,1011227,土地4建物1車位1,十一層,二十層,住宅大樓(11層含以上有電梯),23,185.26999999999998,4,2,2,有,有,5210000,28121,0,0412
房地(土地+建物)+車位,基隆市中正區新豐街451~480號,1020327,土地5建物1車位1,十一層,二十層,住宅大樓(11層含以上有電梯),23,185.26999999999998,4,2,2,有,有,5800000,31306,0,0412
房地(土地+建物)+車位,新豐街451~480號,1091027,土地5建物1車位1,十一層,二十層,住宅大樓(11層含以上有電梯),23,185.26999999999998,4,2,2,有,有,7900000,42640,0,0412
房地(土地+建物),基隆市七堵區東新街6巷31~60號,1080919,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),45,89.73,3,2,2,有,無,3500000,47626,0,0418
房地(土地+建物),東新街6巷31~60號,1091119,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),45,89.73,3,2,2,有,無,6250000,69653,0,0418
房地(土地+建物)+車位,基隆市安樂區基金一路112巷1~30號,1030830,土地2建物1車位1,全,三層,透天厝,37,96.25,4,3,2,有,有,3750000,38961,0,0419
房地(土地+建物),基隆市安樂區基金一路112巷1~30號,1060930,土地2建物1車位0,全,三層,透天厝,37,96.25,4,2,2,有,有,4500000,46753,0,0419
房地(土地+建物),基隆市安樂區基金一路112巷1~30號,1070330,土地2建物1車位0,全,三層,透天厝,37,96.25,3,2,2,有,有,4310000,44779,0,0419
房地(土地+建物),基隆市安樂區基金一路112巷1~30號,1080630,土地2建物1車位0,全,三層,透天厝,37,96.25,4,2,2,有,有,5000000,51948,0,0419
房地(土地+建物),基金一路112巷1~30號,1091030,土地2建物1車位0,全,三層,透天厝,37,96.25,3,2,2,有,有,5600000,58182,0,0419
房地(土地+建物)+車位,基隆市安樂區樂利二街62巷121~150號,1050614,土地2建物1車位1,三層,九層,華廈(10層含以下有電梯),4,163.68,3,2,2,有,有,7980000,53491,1000000,0420
房地(土地+建物)+車位,基隆市安樂區樂利二街62巷121~150號,1051214,土地2建物1車位1,三層,九層,華廈(10層含以下有電梯),4,163.68,3,2,2,有,有,8100000,49487,0,0420
房地(土地+建物)+車位,樂利二街62巷121~150號,1091014,土地2建物1車位1,三層,九層,華廈(10層含以下有電梯),4,163.68,3,2,2,有,有,9500000,58040,0,0420
房地(土地+建物),基隆市中正區平二路9巷31~60號,1080907,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),42,46.98,2,2,1,有,無,1550000,32993,0,0421
房地(土地+建物),平二路9巷31~60號,1091107,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),42,46.98,0,0,1,有,無,1470000,31290,0,0421
房地(土地+建物),深溪路36巷70弄1~30號,1091114,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),22,132.23,3,2,2,有,有,5300000,40082,0,0422
房地(土地+建物),深溪路36巷70弄1~30號,1100114,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),22,132.23,3,2,2,有,有,5000000,37813,0,0422
房地(土地+建物)+車位,基隆市七堵區東新街61~90號,1080709,土地1建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),2,215.94,4,2,2,有,有,13360000,71846,1200000,0423
房地(土地+建物)+車位,東新街61~90號,1090909,土地1建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),2,215.94,4,2,2,有,有,14000000,76809,1000000,0423
房地(土地+建物)+車位,基隆市安樂區麥金路391~420號,1050516,土地3建物1車位1,五層,二十五層,住宅大樓(11層含以上有電梯),5,156.94,3,2,2,有,有,7750000,48557,900000,0424
房地(土地+建物)+車位,基隆市安樂區麥金路391~420號,1060916,土地3建物1車位1,五層,二十五層,住宅大樓(11層含以上有電梯),5,156.94,3,2,2,有,有,8700000,55435,0,0424
房地(土地+建物)+車位,麥金路391~420號,1091116,土地3建物1車位1,五層,二十五層,住宅大樓(11層含以上有電梯),5,156.94,3,2,2,有,有,12500000,79648,0,0424
房地(土地+建物),基隆市安樂區中和路85巷31~60號,1050708,土地6建物1車位0,九層，十層,二十二層,住宅大樓(11層含以上有電梯),24,83.36,2,2,1,有,有,2800000,33589,0,0425
房地(土地+建物),中和路85巷31~60號,1091108,土地7建物1車位0,九層，十層,二十二層,住宅大樓(11層含以上有電梯),24,83.36,3,1,1,有,有,2850000,34189,0,0425
房地(土地+建物)+車位,基隆市信義區深溪路38巷1~30號,1041101,土地1建物1車位1,六層,十層,華廈(10層含以下有電梯),3,176.7,3,1,2,有,有,9280000,55596,800000,0426
房地(土地+建物)+車位,深溪路38巷1~30號,1091101,土地1建物1車位1,六層,十層,華廈(10層含以下有電梯),3,176.7,3,2,2,有,有,12180000,68930,0,0426
房地(土地+建物),基隆市仁愛區仁二路91~120號,1011027,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),36,90.79,3,2,1,有,無,3400000,37449,0,0427
房地(土地+建物),仁二路91~120號,1091027,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),36,90.79,2,1,1,有,無,5800000,63884,0,0427
房地(土地+建物),基隆市信義區深溪路36巷60弄1~30號,1070615,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),25,88.49,2,2,2,有,有,2900000,32772,0,0428
房地(土地+建物),深溪路36巷60弄1~30號,1091015,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),25,88.49,2,2,2,有,有,2850000,32207,0,0428
房地(土地+建物),基隆市仁愛區龍安街196巷1~30號,1030424,土地2建物1車位0,全,二層,透天厝,-1,120.86,2,1,2,有,無,4788200,39618,0,0429
房地(土地+建物),龍安街196巷1~30號,1091024,土地2建物1車位0,全,二層,透天厝,-1,120.86,7,2,3,有,無,3990000,33013,0,0429
房地(土地+建物),龍安街196巷1~30號,1100124,土地2建物1車位0,全,二層,透天厝,-1,120.86,3,2,2,有,無,4200000,34751,0,0429
房地(土地+建物),基隆市仁愛區孝二路1~30號,1090122,土地1建物2車位0,二層,五層,公寓(5樓含以下無電梯),40,125.28,0,0,1,有,無,6800000,54278,0,0430
房地(土地+建物),基隆市仁愛區孝二路1~30號,1090422,土地1建物2車位0,二層,五層,公寓(5樓含以下無電梯),40,125.28,1,1,1,有,無,7200000,57471,0,0430
房地(土地+建物),孝二路1~30號,1091022,土地1建物2車位0,二層,五層,公寓(5樓含以下無電梯),40,125.28,1,1,1,有,無,7500000,59866,0,0430
房地(土地+建物)+車位,基隆市信義區東光路205巷31~60號,1080131,土地6建物1車位1,一層,五層,公寓(5樓含以下無電梯),25,133.95999999999998,3,2,2,有,有,4500000,33592,0,0431
房地(土地+建物)+車位,東光路205巷31~60號,1091031,土地6建物1車位1,一層,五層,公寓(5樓含以下無電梯),25,133.95999999999998,3,2,2,有,有,4880000,36429,0,0431
房地(土地+建物),基隆市信義區東信路310巷31~60號,1070720,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),46,82.68,3,2,1,有,無,3000000,36284,0,0432
房地(土地+建物),東信路310巷31~60號,1091120,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),46,82.68,3,2,2,有,無,4680000,56604,0,0432
房地(土地+建物)+車位,基隆市安樂區麥金路361~390號,1050631,土地3建物1車位1,六層,十八層,住宅大樓(11層含以上有電梯),5,123.86000000000001,3,1,2,有,有,5900000,45370,1000000,0433
房地(土地+建物)+車位,基隆市安樂區麥金路361~390號,1060231,土地3建物1車位1,六層,十八層,住宅大樓(11層含以上有電梯),5,123.86000000000001,3,2,2,有,有,8150000,65795,0,0433
房地(土地+建物)+車位,麥金路361~390號,1091031,土地3建物1車位1,六層,十八層,住宅大樓(11層含以上有電梯),5,123.86000000000001,3,2,2,有,有,11000000,88803,0,0433
土地,溪頭段721~750地號,1081216,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,51872,24239,0,0434
土地,溪頭段721~750地號,1090116,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,38904,24164,0,0434
土地,溪頭段721~750地號,1091116,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,40865,25382,0,0434
房地(土地+建物),基隆市中山區華興街53巷1~30號,1020801,土地1建物1車位0,三層,八層,華廈(10層含以下有電梯),14,142.51999999999998,3,2,2,有,有,5100000,35784,0,0435
