交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物)+車位,苗栗縣頭份鎮田寮里10鄰維新路1~30號,1021225,土地2建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),4,169.99,3,2,2,有,有,7800000,48739,900000,0018
房地(土地+建物)+車位,田寮里10鄰維新路1~30號,1090825,土地2建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),4,169.99,3,2,2,有,有,8250000,48532,0,0018
房地(土地+建物),苗栗縣頭份鎮合興里10鄰幼英街91~120號,1040114,土地1建物1車位0,全,四層,透天厝,9,231.11,5,1,6,有,無,12250000,53005,0,0019
房地(土地+建物),合興里10鄰幼英街91~120號,1090814,土地1建物1車位0,全,四層,透天厝,9,231.11,5,1,6,有,無,12000000,51923,0,0019
土地,蘆竹湳段流水潭小段241~270地號,1080622,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,120000000,41379,0,0020
土地,蘆竹湳段流水潭小段241~270地號,1090622,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,140360000,48400,0,0020
房地(土地+建物),苗栗縣頭份鎮上興里15鄰永昌街1~30號,1020202,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),23,120.55,3,2,2,有,有,1650000,15829,0,0021
房地(土地+建物)+車位,上興里15鄰永昌街1~30號,1090802,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),23,120.55,3,2,2,有,有,2450000,20324,0,0021
房地(土地+建物)+車位,苗栗縣頭份鎮後庄里21鄰公北二路91~120號,1070205,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),4,148.61,3,2,2,有,有,8100000,56184,500000,0022
房地(土地+建物)+車位,後庄里21鄰公北二路91~120號,1090805,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),4,148.61,3,2,2,有,有,8650000,58206,0,0022
土地,大坑段991~1020地號,1080102,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,5000000,4617,0,0023
土地,大坑段991~1020地號,1090802,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,5000000,4617,0,0023
房地(土地+建物)+車位,苗栗縣頭份鎮東庄里19鄰富強一街1~30號,1070317,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),2,161.8,3,2,2,有,有,6100000,40924,1000000,0024
房地(土地+建物)+車位,東庄里19鄰富強一街1~30號,1090817,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),2,161.8,3,2,2,有,有,6100000,37701,0,0024
房地(土地+建物)+車位,苗栗縣頭份市後庄里7鄰公北三路91~120號,1061002,土地2建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),2,194.11,3,2,2,有,有,9550000,52913,750000,0025
房地(土地+建物)+車位,後庄里7鄰公北三路91~120號,1090802,土地2建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),2,194.11,3,2,2,有,有,10300000,53063,0,0025
房地(土地+建物),苗栗縣頭份鎮文化里3鄰幼英街16巷1~30號,1050615,土地2建物1車位0,全,四層,透天厝,15,182.77,5,2,3,有,無,9000000,49242,0,0026
房地(土地+建物),文化里3鄰幼英街16巷1~30號,1090815,土地2建物1車位0,全,四層,透天厝,15,182.77,4,2,4,有,無,10300000,56355,0,0026
土地,淡文湖段151~180地號,1090622,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1765000,7511,0,0027
土地,淡文湖段151~180地號,1090822,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,498960,8603,0,0027
房地(土地+建物),苗栗縣竹南鎮海口里5鄰迎薰南路56巷1弄1~30號,1030911,土地2建物1車位0,二層,五層,華廈(10層含以下有電梯),-1,116.52,3,2,2,有,有,4200000,35928,0,0028
房地(土地+建物),海口里5鄰迎薰南路56巷1弄1~30號,1090811,土地2建物1車位0,二層,五層,華廈(10層含以下有電梯),-1,116.52,3,2,2,有,有,4700000,40336,0,0028
房地(土地+建物),苗栗縣竹南鎮大埔里2鄰科專六路178巷1~30號,1050528,土地2建物1車位0,全,四層,透天厝,5,114.4,3,2,4,有,無,7000000,61189,0,0029
房地(土地+建物),大埔里2鄰科專六路178巷1~30號,1090728,土地2建物1車位0,全,四層,透天厝,5,114.4,4,3,4,有,無,7750000,67745,0,0029
房地(土地+建物)+車位,苗栗縣竹南鎮山佳里18鄰佳北二街61~90號,1090315,土地1建物2車位1,八層,九層,華廈(10層含以下有電梯),22,148.26999999999998,3,2,2,有,有,4300000,29001,0,0030
房地(土地+建物)+車位,山佳里18鄰佳北二街61~90號,1090815,土地1建物1車位1,八層,九層,華廈(10層含以下有電梯),22,148.26999999999998,3,2,2,有,有,4750000,32036,0,0030
土地,南山段181~210地號,1021109,土地4建物0車位0,,,其他,-1,0.0,0,0,0,有,無,17683835,2722,0,0031
土地,南山段1111~1140地號,1030709,土地4建物0車位0,,,其他,-1,0.0,0,0,0,有,無,24560000,3781,0,0031
土地,南山段181~210地號,1030809,土地4建物0車位0,,,其他,-1,0.0,0,0,0,有,無,13755000,4235,0,0031
土地,南山段181~210地號,1080409,土地4建物0車位0,,,其他,-1,0.0,0,0,0,有,無,29473000,4537,0,0031
