編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLLKLHPFFDQ76CA,36,105.49,住家用,鋼筋混凝土加強磚造,72年10月5日,二層,一層 二層
RPQPMLKKLHPFFDQ66CA,,202.67,見其他登記事項,鋼筋混凝土造,108年10月18日,三層,一層 二層 三層 見其他登記事項
RPPQMLKKLHPFFDQ66CA,,171.90,見其他登記事項,鋼筋混凝土造,108年10月18日,三層,一層 二層 三層 見其他登記事項
RPXPMLKKLHPFFDQ37CA,,172.12,見其他登記事項,鋼筋混凝土造,108年10月18日,三層,一層 二層 三層 見其他登記事項
RPRQMLKKLHPFFDQ86CA,,171.90,見其他登記事項,鋼筋混凝土造,108年10月18日,三層,一層 二層 三層 見其他登記事項
RPROMLKKLHPFFDQ66CA,,204.15,見其他登記事項,鋼筋混凝土造,108年11月15日,四層,一層 二層 三層 四層
RPXOMLKKLHPFFDQ27CA,,198.67,見其他登記事項,鋼筋混凝土造,108年11月15日,四層,一層 二層 三層 四層
RPRPMLKKLHPFFDQ76CA,,204.16,見其他登記事項,鋼筋混凝土造,108年11月15日,四層,一層 二層 三層 四層
RPPOMLKKLHPFFDQ09CA,,227.63,見其他登記事項,鋼筋混凝土造,108年11月15日,四層,一層 二層 三層 四層 見其他登記事項
RPUOMLKKLHPFFDQ96CA,,204.16,見其他登記事項,鋼筋混凝土造,108年11月15日,四層,一層 二層 三層 四層
RPSNMLPJLHPFFCQ07DA,38,132.18,住商用,鋼筋混凝土加強磚造,70年8月3日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPSNMLPJLHPFFCQ07DA,38,129.72,住商用,鋼筋混凝土加強磚造,70年8月3日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPSNMLPJLHPFFCQ07DA,19,184.33,見其他登記事項,鋼筋混凝土造,90年4月23日,一層,一層
RPSOMLKKLHPFFDQ76CA,,204.16,見其他登記事項,鋼筋混凝土造,108年11月15日,四層,一層 二層 三層 四層
RPTQMLKKLHPFFDQ07CA,,172.23,見其他登記事項,鋼筋混凝土造,108年10月18日,三層,一層 二層 三層 見其他登記事項
RPUQMLKKLHPFFDQ17CA,,172.23,見其他登記事項,鋼筋混凝土造,108年10月18日,三層,一層 二層 三層 見其他登記事項
RPVQMLKKLHPFFDQ27CA,,171.90,見其他登記事項,鋼筋混凝土造,108年10月18日,三層,一層 二層 三層 見其他登記事項
RPXQMLKKLHPFFDQ47CA,,172.23,見其他登記事項,鋼筋混凝土造,108年10月18日,三層,一層 二層 三層 見其他登記事項
RPPRMLKKLHPFFDQ76CA,,171.90,見其他登記事項,鋼筋混凝土造,108年10月18日,三層,一層 二層 三層 見其他登記事項
RPORMLKKLHPFFDQ66CA,,172.23,見其他登記事項,鋼筋混凝土造,108年10月18日,三層,一層 二層 三層 見其他登記事項
RPQRMLKKLHPFFDQ86CA,,172.23,見其他登記事項,鋼筋混凝土造,108年10月18日,三層,一層 二層 三層 見其他登記事項
RPRRMLKKLHPFFDQ96CA,,172.23,見其他登記事項,鋼筋混凝土造,108年10月18日,三層,一層 二層 三層 見其他登記事項
RPWQMLKKLHPFFDQ37CA,,171.81,見其他登記事項,鋼筋混凝土造,108年10月18日,三層,一層 二層 三層 見其他登記事項
RPSRMLKKLHPFFDQ07CA,,171.90,見其他登記事項,鋼筋混凝土造,108年10月18日,三層,一層 二層 三層 見其他登記事項
RPPNMLPJLHPFFDQ76CA,25,60.00,住家用,木造,83年12月14日,二層,一層 二層
RPTNMLPKKHPFFDQ17CA,40,94.58,住家用,鋼筋混凝土加強磚造,68年12月1日,二層,一層 二層
RPQOMLPJLHPFFDQ96CA,,164.22,見其他登記事項,鋼筋混凝土造,108年10月8日,三層,一層 二層 三層 見其他登記事項
RPUNMLTKKHPFFDQ67CA,,207.69,住家用,鋼筋混凝土造,108年12月6日,三層,一層 二層 三層 見其他登記事項
RPOOMLMKLHPFFCQ09CA,1,247.89,住家用,鋼筋混凝土造,108年3月20日,四層,一層 二層 三層 四層
