鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
梧棲區,房地(土地+建物),臺中市梧棲區中正路91~120號,77.0,住,,,1090206,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,1060622,186.35,4,3,3,有,無,無,25000,134,,0.0,0,,RPQNMLLKKHPFFFB97CC
清水區,房地(土地+建物),臺中市清水區港新五路181~210號,12.51,商,,,1090208,土地1建物1車位0,二層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061027,95.6,2,2,1,有,有,有,16000,167,,0.0,0,,RPVNMLLKKHPFFFB48CC
西屯區,房地(土地+建物),臺中市西屯區福科路620巷1~30號,99.34,住,,,1090211,土地3建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0920206,240.92,4,2,4,有,有,有,38000,158,,0.0,0,,RPSOMLLKKHPFFCB08DC
西區,房地(土地+建物)+車位,臺中市西區臺灣大道二段511~540號,53.57,住,,,1090130,土地1建物1車位1,八層,12,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0810131,396.07,0,0,0,無,有,無,72000,182,坡道平面,0.0,0,,RPSNMLLKKHPFFAB67CC
西區,建物,臺中市西區三民路一段31~60號,0.0,住,,,1090121,土地0建物1車位0,全,2,透天厝,商業用,見其他登記事項,0560117,105.3,1,1,2,有,無,無,27000,256,,0.0,0,一樓作為營業使用，二樓作為住家使用。,RPUOMLLKKHPFFAB97CC
北屯區,房地(土地+建物),臺中市北屯區天津路三段151~180號,5.85,住,,,1090207,土地1建物1車位0,四層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0791214,43.2,1,1,1,有,有,有,8720,202,,0.0,0,,RPVNMLLKKHPFFBB08CC
北區,建物,臺中市北區雙十路二段31巷1~30號,0.0,住,,,1090117,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0620214,88.57,3,2,2,有,無,有,13000,147,,0.0,0,,RPPPMLLKKHPFFBB67CC
西屯區,房地(土地+建物)+車位,臺中市西屯區市政北一路61~90號,24.99,其他,,,1090131,土地1建物0車位2,六層,15,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0850903,211.58,0,0,0,無,有,無,48000,227,坡道機械,0.0,0,,RPUNMLLKKHPFFCB08CC
西屯區,建物,臺中市西屯區河南路三段121~150號,0.0,其他,,,1090121,土地0建物1車位1,四層,15,套房(1房1廳1衛),住家用,鋼筋混凝土造,0960313,91.19999999999999,1,1,1,有,有,有,23000,252,坡道機械,0.0,0,租金含管理費。車位面積無法分算。,RPVNMLLKKHPFFCB18CC
