鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
水上鄉,土地,水南段1111~1140地號,72.07,都市：其他:道路,,,1091112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,129810,1801,,0.0,0,,RPWNMLMLKIPFFDQ47DA,0.0,0.0,0.0,無,
水上鄉,土地,水南段1111~1140地號,17.25,都市：其他:道路,,,1091112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,31200,1809,,0.0,0,,SPWNMLMLKIPFFDQ57DA,0.0,0.0,0.0,無,
水上鄉,土地,水南段1111~1140地號,1940.49,都市：其他:農業區,,,1091112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17035200,8779,,0.0,0,,TPWNMLMLKIPFFDQ67DA,0.0,0.0,0.0,無,
中埔鄉,土地,灣潭子段271~300地號,11839.0,,山坡地保育區,農牧用地,1091127,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,296,,0.0,0,含仲介費；農作物；,RPQNMLTKKIPFFDQ47DA,0.0,0.0,0.0,無,
水上鄉,房地(土地+建物),水上村水德路181~210號,100.55,,,,1091127,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1081231,211.53,4,3,3,有,無,10300000,48693,,0.0,0,,RPOOMLPKKIPFFDQ96DA,198.87,12.66,0.0,無,
義竹鄉,房地(土地+建物),義竹91~120號,80.42,,鄉村區,乙種建築用地,1091214,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0690807,101.03,4,2,2,有,無,3800000,37613,,0.0,0,,RPRNMLMLKIPFFBQ76DA,101.03,0.0,0.0,無,
義竹鄉,土地,五間厝段祥和小段151~180地號,4365.0,,特定農業區,農牧用地,1091216,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3099150,710,,0.0,0,,RPRNMLRKKIPFFBQ17DA,0.0,0.0,0.0,無,
朴子市,土地,小榔段仁和小段151~180地號,4789.0,,特定農業區,農牧用地,1091207,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10500000,2193,,0.0,0,,RPVNMLLLKIPFFBQ07DA,0.0,0.0,0.0,無,
六腳鄉,房地(土地+建物)+車位,下溪361~390號,69.68,,鄉村區,乙種建築用地,1091116,土地1建物1車位1,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0731224,109.4,2,2,2,有,無,3200000,29250,一樓平面,0.0,0,,RPWNMLMLKIPFFBQ27DA,98.8,8.2,2.4,無,
朴子市,土地,仁和段631~660地號,206.31,,鄉村區,乙種建築用地,1091212,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,7271,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLNLKIPFFBQ27DA,0.0,0.0,0.0,無,
