鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
員林市,房地(土地+建物),中山路二段187巷11弄1~30號,80.32,都市：其他:第二種住宅區,,,1091014,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0761015,82.17,6,2,3,有,無,6480000,78861,,0.0,0,三樓整層加建，二樓陽台廚房增建,RPTNMLLMKIPFFDN86DA,72.0,10.17,0.0,,
員林市,土地,香山段61~90地號,546.59,,特定農業區,農牧用地,1091022,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6950000,12715,,0.0,0,,RPUNMLLMKIPFFDN96DA,0.0,0.0,0.0,,0337
永靖鄉,房地(土地+建物),永福路一段713巷1~30號,103.07,,特定農業區,甲種建築用地,1091122,土地5建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0821109,146.49,5,2,3,有,無,4880000,33313,,0.0,0,車庫加建,RPWNMLLMKIPFFDN17DA,137.19,9.3,0.0,,0338
社頭鄉,土地,廣興段1351~1380地號,335.67,都市：其他:農業區,,,1091013,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1015400,3025,,0.0,0,,RPPOMLKMKIPFFEN56DA,0.0,0.0,0.0,,0339
社頭鄉,土地,東興段931~960地號,165.8,都市：其他:住宅區,,,1091201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4220000,25452,,0.0,0,,RPPNMLLMKIPFFEN56DA,0.0,0.0,0.0,,0340
社頭鄉,房地(土地+建物),山腳路四段91巷77弄1~30號,118.13,,鄉村區,乙種建築用地,1091208,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0891230,148.07,4,2,3,有,無,3500000,23637,,0.0,0,,RPRNMLLMKIPFFEN76DA,133.32,9.36,5.39,,0341
社頭鄉,房地(土地+建物),湳底路160巷7弄1~30號,99.26,,特定農業區,甲種建築用地,1070624,土地6建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1090727,151.03,0,0,0,無,無,6880000,45554,,0.0,0,,RPPNMLRLKIPFFEN07DA,144.92,0.0,6.0,,
社頭鄉,土地,橋頭段631~660地號,472.56,,鄉村區,乙種建築用地,1091026,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8435673,17851,,0.0,0,,RPSNMLSLKIPFFEN47DA,0.0,0.0,0.0,,0189
社頭鄉,土地,橋頭段601~630地號,215.76,,鄉村區,乙種建築用地,1091126,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3640000,16871,,0.0,0,,RPTNMLSLKIPFFEN57DA,0.0,0.0,0.0,,0189
員林市,房地(土地+建物),莒光路756巷1~30號,97.7,都市：其他:第二種住宅區,,,1091130,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0790425,104.42,4,2,3,有,無,7650000,73262,,0.0,0,,RPUOMLOLKIPFFDN27DA,88.9,15.52,0.0,,0344
福興鄉,土地,福鹿段931~960地號,31.45,,特定農業區,交通用地,1091223,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,618385,19662,,0.0,0,,RPPNMLSLKIPFFCN96DA,0.0,0.0,0.0,,
鹿港鎮,房地(土地+建物),鹿草路四段391巷1~30號,79.97,,鄉村區,乙種建築用地,1091207,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0680210,108.26,6,3,2,有,無,3000000,27711,,0.0,0,,RPRNMLTLKIPFFCN27DA,108.26,0.0,0.0,,
福興鄉,土地,福安段991~1020地號,6028.06,,一般農業區,農牧用地,1091208,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14768747,2450,,0.0,0,,RPPNMLOJJHGGFCN97DA,0.0,0.0,0.0,,
福興鄉,土地,福安段991~1020地號,6368.62,,一般農業區,農牧用地,1091208,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15603119,2450,,0.0,0,,RPQNMLOJJHGGFCN08DA,0.0,0.0,0.0,,
鹿港鎮,房地(土地+建物),鹿和路一段8巷1~30號,74.0,都市：其他:住宅區,,,1091209,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0610821,74.71,3,3,2,有,無,5000000,66925,,0.0,0,,RPUNMLOJJHGGFCN48DA,74.71,0.0,0.0,,
鹿港鎮,房地(土地+建物),思源路329巷1~30號,102.69,都市：其他:住宅區,,,1091221,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090703,140.11,3,2,3,有,無,9100000,64949,,0.0,0,,RPQNMLLLKIPFFCN98DA,131.19,0.0,8.92,,
