鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
前鎮區,房地(土地+建物)+車位,籬仔內路29巷1~30號,26.08,都市：其他:第四種住宅區,,,1100116,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031006,185.91,3,2,2,有,有,12800000,68851,坡道平面,0.0,0,附家具家電裝潢,RPVOMLTKKHGGFCE48DA,90.9,13.95,0.0,有,02518
前鎮區,房地(土地+建物),臺鋁九巷1~30號,35.04,都市：其他:道路用地,,,1100112,土地3建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0590909,57.66,2,2,1,有,無,1520000,26361,,0.0,0,,RPUNMLMLKHGGFCE67DA,57.66,0.0,0.0,無,
前鎮區,房地(土地+建物),英明一路121~150號,31.68,都市：其他:第四種住宅區,,,1100202,土地1建物1車位0,一層，二層，騎樓，地下一層,五層,公寓(5樓含以下無電梯),見其他登記事項,見其它登記事項,0690423,112.1,2,2,2,有,無,9500000,84746,,0.0,0,,RPWNMLMLKHGGFCE87DA,108.76,3.34,0.0,無,
小港區,房地(土地+建物),高坪十三街121~150號,102.71,都市：其他:第二種住宅區,,,1100111,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0930330,176.33,4,2,3,有,無,7200000,40833,,0.0,0,房地交易總價為新台幣720萬元土地交易總價新台幣605萬元建物交易總價總價新台幣115萬元,RPXNMLMLKHGGFCE97DA,155.02,21.31,0.0,無,
前鎮區,房地(土地+建物),民權二路361~390號,12.35,都市：其他:第五種住宅區,,,1100205,土地1建物1車位0,十六層,二十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0800327,218.75,3,2,1,有,有,9092000,41563,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLMLKHGGFCE27DA,145.38,6.91,0.0,有,
前鎮區,房地(土地+建物)+車位,民權二路421~450號,23.01,都市：其他:第五種住宅區,,,1100102,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820129,233.54,5,2,2,有,有,9880000,42305,升降機械,0.0,0,,RPQOMLSLJHGGFCE87DA,161.21,17.82,0.0,有,
前鎮區,房地(土地+建物)+車位,光華二路1~30號,11.76,都市：其他:第三種特定商業專用區,,,1091015,土地2建物1車位1,十四層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060608,120.41,2,2,1,有,有,10000000,77501,坡道平面,15.25,1850000,含裝潢費1380000元；,RPOPMLMLKHGGFCE27DA,54.27,14.58,0.0,有,
前鎮區,房地(土地+建物),臺鋁十五巷1~30號,36.19,都市：其他:第三種住宅區。,,,1100103,土地1建物1車位0,一層，夾層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760922,131.43,3,2,3,有,無,11000000,83695,,0.0,0,,RPRPMLMLKHGGFCE57DA,114.42,9.85,0.0,無,02519
前鎮區,土地,鎮昌段1~30地號,73.0,都市：其他:第五種住宅區,,,1091128,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2864228,39236,,0.0,0,,RPTNMLNLKHGGFCE67DA,0.0,0.0,0.0,無,02202
小港區,房地(土地+建物)+車位,福祿街1~30號,18.11,都市：其他:第二種特定商業專用區,,,1091228,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1040416,134.69,3,2,2,有,有,6100000,45289,坡道平面,28.05,0,,RPWNMLNLKHGGFCE97DA,61.42,7.55,0.0,有,02521
