交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物),高雄市三民區德山街35巷1~30號,1030730,土地1建物2車位0,十五層,十八層,住宅大樓(11層含以上有電梯),21,114.3,2,2,2,有,有,4390000,38408,0,00014
房地(土地+建物)+車位,德山街35巷1~30號,1091115,土地1建物1車位1,十五層,十八層,住宅大樓(11層含以上有電梯),27,114.3,2,1,1,有,有,5250000,45932,0,00014
房地(土地+建物),高雄市三民區北平二街8巷1~30號,1030922,土地1建物1車位0,一層，騎樓，夾層,五層,公寓(5樓含以下無電梯),34,57.99,2,2,2,有,無,3100000,53457,0,00015
房地(土地+建物),北平二街8巷1~30號,1090630,土地1建物1車位0,一層，騎樓，夾層,五層,公寓(5樓含以下無電梯),39,57.99,2,2,2,有,無,3750000,64666,0,00015
房地(土地+建物),北平二街8巷1~30號,1091031,土地1建物1車位0,一層，騎樓，夾層,五層,公寓(5樓含以下無電梯),40,57.99,2,2,2,有,無,4800000,82773,0,00015
房地(土地+建物),高雄市楠梓區益群路9巷31~60號,1020923,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),32,63.46,3,0,3,有,無,1800000,28364,0,00016
房地(土地+建物),高雄市楠梓區益群路9巷31~60號,1041011,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),34,63.46,3,0,3,有,無,2300000,36243,0,00016
房地(土地+建物),益群路9巷31~60號,1091029,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),39,63.46,3,1,3,有,無,2350000,37031,0,00016
土地,右昌段三小段361~390地號,1091202,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1665000,47762,0,00017
土地,右昌段三小段361~390地號,1091201,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1750000,42538,0,00017
房地(土地+建物)+車位,高雄市楠梓區學專路781~810號,1051108,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),1,131.25,3,2,2,有,有,6450000,46386,1130000,00018
房地(土地+建物)+車位,學專路781~810號,1091111,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),5,131.25,3,2,2,有,有,7150000,54476,0,00018
車位,高雄市左營區博愛二路271~300號,1080702,土地0建物0車位3,,,其他,-1,60.03,0,0,0,有,有,7700000,,7700000,00019
車位,博愛二路271~300號,1091124,土地1建物1車位3,,,其他,3,60.03,0,0,0,有,有,7800000,,7800000,00019
車位,博愛二路271~300號,1091231,土地1建物1車位2,,,其他,3,37.32,0,0,0,有,有,4300000,,4300000,00019
車位,博愛二路271~300號,1091119,土地1建物1車位1,,,其他,3,20.01,0,0,0,有,有,2200000,,2200000,00019
車位,博愛二路271~300號,1100217,土地1建物1車位2,,,其他,3,40.02,0,0,0,有,有,4400000,,4400000,00019
房地(土地+建物),高雄市左營區文萊路1~30號,1090526,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),36,83.38,3,2,2,有,無,3150000,37779,0,00020
房地(土地+建物),文萊路1~30號,1091118,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),36,97.09,3,2,2,有,無,5120000,52735,0,00020
土地,土庫段二小段241~270地號,1090922,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2742540,25991,0,00021
