交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物)+車位,嘉義縣太保市春珠里保鐵一路二段91~120號,1060707,土地1建物1車位1,八層,十六層,住宅大樓(11層含以上有電梯),0,134.2,2,2,1,有,有,5480000,45337,750000,0025
房地(土地+建物)+車位,春珠里保鐵一路二段91~120號,1091109,土地1建物1車位1,八層,十六層,住宅大樓(11層含以上有電梯),4,134.2,1,2,1,有,有,5400000,40238,0,0025
土地,豐收段841~870地號,1091109,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,781306,9933,0,0026
土地,豐收段841~870地號,1091021,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,4000000,9584,0,0026
房地(土地+建物),嘉義縣朴子市仁和二路121~150號,1030505,土地1建物1車位0,四層,八層,套房(1房1廳1衛),8,25.04,1,1,1,有,有,390000,15575,0,0027
房地(土地+建物),仁和二路121~150號,1091127,土地1建物1車位0,四層,八層,套房(1房1廳1衛),14,25.04,1,1,1,有,有,530000,21166,0,0027
土地,埤頭段共和小段601~630地號,1060722,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,3320000,1577,0,0028
土地,埤頭段共和小段601~630地號,1091114,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,4200000,1995,0,0028
土地,東湖段991~1020地號,1040917,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,400000,6682,0,0029
土地,東湖段991~1020地號,1050516,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,400000,6682,0,0029
土地,東湖段991~1020地號,1091126,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1000000,6386,0,0029
土地,水西段391~420地號,1090805,土地4建物0車位0,,,其他,-1,0.0,0,0,0,有,無,9000000,18607,0,0030
土地,水西段391~420地號,1091127,土地4建物0車位0,,,其他,-1,0.0,0,0,0,有,無,9000000,18607,0,0030
土地,龍潭段511~540地號,1091129,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1190000,8683,0,0031
土地,龍潭段511~540地號,1091205,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,124000,8745,0,0031
土地,龍潭段511~540地號,1091205,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,124000,8745,0,0031
土地,龍潭段511~540地號,1100407,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1240000,9048,0,0031
土地,龍德段1381~1410地號,1090925,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1000000,9171,0,0032
土地,龍德段1381~1410地號,1091207,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1080000,9905,0,0032
土地,灣北段361~390地號,1061130,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,250000,464,0,0033
土地,灣北段361~390地號,1091129,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,250000,464,0,0033
土地,梅東段1651~1680地號,1010903,土地3建物0車位0,,,其他,-1,0.0,0,0,0,有,無,5700000,28480,0,0034
土地,梅東段1741~1770地號,1091107,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1050000,15623,0,0034
土地,梅東段1741~1770地號,1100315,土地3建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2500000,12491,0,0034
土地,朴工段1~30地號,1070521,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,4290000,11786,0,0035
土地,朴工段1~30地號,1091019,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,6160000,16923,0,0035
土地,朴工段1~30地號,1081008,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,1255000,15120,0,0036
土地,朴工段1~30地號,1091019,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1410000,16988,0,0036
房地(土地+建物),嘉義縣大林鎮好收121~150號,1020917,土地1建物1車位0,三層,五層,套房(1房1廳1衛),18,27.92,1,1,1,有,無,500000,17908,0,0037
房地(土地+建物),豊收村好收121~150號,1091125,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),26,39.59,0,0,0,無,無,600000,15155,0,0037
房地(土地+建物),嘉義縣竹崎鄉獅埜村1鄰東義1~30號,1031117,土地1建物1車位0,全,二層,透天厝,33,113.32,3,2,2,有,無,1680000,14825,0,0039
房地(土地+建物),獅埜村1鄰東義1~30號,1091116,土地1建物1車位0,全,二層,透天厝,39,113.32,2,2,2,有,無,2780000,24532,0,0039
土地,樟樹坪段1~30地號,1091126,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,131000,591,0,0040
土地,樟樹坪段1~30地號,1091126,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,131000,591,0,0040
土地,樟樹坪段1~30地號,1091231,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,186446,423,0,0040
土地,樟樹坪段1~30地號,1091126,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,722000,323,0,0041
土地,樟樹坪段1~30地號,1091126,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,722000,323,0,0041
土地,樟樹坪段1~30地號,1091231,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,126796,352,0,0041
土地,新寮段931~960地號,1091120,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,16747,3496,0,0042
土地,新寮段931~960地號,1091120,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,4187,3489,0,0042
土地,新寮段931~960地號,1091120,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,4187,3489,0,0042
土地,新寮段931~960地號,1091120,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,4187,3489,0,0042
土地,新寮段931~960地號,1091120,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,4187,3489,0,0042
土地,新寮段931~960地號,1091120,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,7257,3506,0,0042
