鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
安南區,土地,佃北段991~1020地號,1735.52,都市：其他:住宅區,,,1091127,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,27290000,15724,,0.0,0,,RPXNMLLJKIPFFBD38DA,0.0,0.0,0.0,無,0006
安南區,房地(土地+建物),田路329巷1~30號,176.0,都市：其他:住宅區,,,1091022,土地4建物1車位0,全,三層,透天厝,住家用,加強磚造,0960904,202.07,5,2,3,有,無,7500000,37116,,0.0,0,,RPPOMLLJKIPFFBD67DA,189.47,0.0,12.6,無,
安南區,房地(土地+建物),北安路二段91~120號,98.15,都市：其他:住宅區,,,1091116,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0701117,158.76,4,2,3,有,無,9350000,58894,,0.0,0,,RPRTMLRJKIPFFBD98DA,144.28,0.0,14.48,無,
安南區,土地,學東段991~1020地號,143.2,都市：其他:住宅區,,,1090511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4331000,30244,,0.0,0,,RPTNMLTJKIPFFBD78DA,0.0,0.0,0.0,無,0007
安南區,房地(土地+建物),永續路236巷1~30號,108.75,都市：其他:住宅區,,,1091114,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1090304,236.19,4,2,5,有,無,16700000,70706,,0.0,0,,RPTOMLTJKIPFFBD88DA,222.03,0.0,14.14,無,
南區,房地(土地+建物),体育路21巷34弄1~30號,195.0,都市：其他:住宅區,,,1090920,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0690901,298.93,6,2,4,有,無,17580000,58810,,0.0,0,,RPSPMLNJJIPFFCD28DA,298.93,0.0,0.0,無,0008
東區,房地(土地+建物),富農街一段72巷1~30號,74.26,都市：其他:第五種住宅區,,,1091110,土地3建物1車位0,全,二層,透天厝,住家用,加強磚造,0611211,84.69,4,2,1,有,無,4800000,56677,,0.0,0,包含公共設施保留地用地；,RPWOMLNLJIPFFCD78DA,84.69,0.0,0.0,無,
南區,房地(土地+建物),中華南路一段186巷20弄31~60號,73.0,都市：其他:住宅區,,,1091202,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0740115,113.61,4,2,5,有,無,4880000,42954,,0.0,0,,RPUOMLMJKIPFFCD38DA,107.4,0.0,6.21,無,
東區,房地(土地+建物)+車位,富農街二段1~30號,18.75,都市：其他:第五種住宅區,,,1091102,土地1建物1車位1,六層，夾層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840502,112.27,3,2,2,有,有,5680000,50592,坡道平面,0.0,0,,RPVOMLMJKIPFFCD48DA,57.31,1.53,6.65,有,
南區,房地(土地+建物),金華路二段51巷61~90號,33.75,都市：其他:住宅區,,,1091203,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670509,62.19,3,1,1,有,無,2220000,35697,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLNJKIPFFCD48DA,62.19,0.0,0.0,無,
東區,房地(土地+建物),東光路二段109巷1~30號,70.0,都市：其他:第五種住宅區,,,1090828,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0680331,86.4,2,2,2,有,無,7000000,81019,,0.0,0,,RPWNMLOJKIPFFCD68DA,86.4,0.0,0.0,無,
東區,房地(土地+建物),中華東路二段181~210號,2.6,都市：其他:細部計劃道路用地,,,1091129,土地3建物1車位0,六層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841106,34.339999999999996,1,0,1,有,有,2030000,59115,,0.0,0,,RPOOMLOJKIPFFCD97DA,19.5,0.0,3.72,有,
東區,房地(土地+建物)+車位,崇善十一街31~60號,12.88,都市：其他:第五種住宅區,,,1091031,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880802,79.39,2,2,1,有,有,4900000,61721,坡道機械,11.24,0,,RPRNMLRJKIPFFCD48DA,47.66,0.0,7.15,有,0009
東區,房地(土地+建物)+車位,德昌路61~90號,60.32,都市：其他:第五種住宅區,,,1090926,土地1建物1車位2,九層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1080131,293.94,4,2,3,有,有,23500000,85959,坡道平面,61.27,3500000,土地價款:900萬建物價款:1100萬,RPXNMLRJKIPFFCD09DA,139.78,0.0,21.15,有,
東區,房地(土地+建物)+車位,德昌路61~90號,75.4,都市：其他:第五種住宅區,,,1090917,土地1建物1車位3,四層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1080131,361.5,4,2,3,有,有,25760000,78874,坡道平面,95.76,4800000,土地價款:9432000元建物價款:11528000元,RPRNMLSJKIPFFCD58DA,161.84,0.0,21.94,有,
東區,房地(土地+建物),中華東路三段380巷55弄1~30號,100.3,都市：其他:鄰里商業區,,,1091031,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0841229,348.75,5,3,5,有,有,15280000,43814,,0.0,0,含傢俱設備費；其他增建；,RPUNMLSJKIPFFCD88DA,267.53,1.05,30.03,無,
南區,房地(土地+建物),中華南路二段53巷121~150號,96.0,都市：其他:住宅區,,,1091013,土地2建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1090806,187.82,4,3,4,有,無,16500000,87850,,0.0,0,其他增建；,RPVOMLSJKIPFFCD09DA,161.48,0.0,26.34,無,
東區,房地(土地+建物),東門路三段11巷1~30號,26.51,都市：其他:第五種住宅區,,,1091126,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700407,132.12,3,2,2,有,無,3500000,26491,,0.0,0,,RPQNMLTJKIPFFCD58DA,97.94,0.0,0.0,有,
南區,土地,中和段1111~1140地號,7.6,都市：其他:住宅區,,,1091201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,229900,30250,,0.0,0,政府機關標讓售；,RPSNMLKKKIPFFCD97DA,0.0,0.0,0.0,無,
新營區,房地(土地+建物),康樂街1~30號,9.89,都市：其他:商業區,,,1091119,土地1建物1車位0,四層,八層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850215,77.86,2,2,1,有,無,2500000,32109,,0.0,0,,RPWNMLSJKIPFFDD56DA,55.86,0.0,0.0,無,
鹽水區,土地,新岸段121~150地號,36.36,都市：其他:住宅區,,,1091011,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,550000,15127,,0.0,0,未登記建物；,RPQNMLTJKIPFFDD68DA,0.0,0.0,0.0,無,
新營區,土地,濟安段31~60地號,18.25,都市：其他:商業區,,,1091207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,662406,36296,,0.0,0,,RPVNMLKKKIPFFDD38DA,0.0,0.0,0.0,無,
東山區,土地,東河段361~390地號,44.34,,鄉村區,水利用地,1091205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,268000,6044,,0.0,0,,RPPNMLRJKIPFFED48DA,0.0,0.0,0.0,無,
東山區,土地,吉貝耍段811~840地號,1945.0,,特定農業區,農牧用地,1091127,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1945000,1000,,0.0,0,,RPPNMLKKKIPFFED87DA,0.0,0.0,0.0,無,
下營區,土地,下營段3841~3870地號,1395.0,,特定農業區,農牧用地,1091112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1674000,1200,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWOMLOLJIPFFFD56DA,0.0,0.0,0.0,無,
下營區,土地,大屯寮段2731~2760地號,1462.0,,特定農業區,農牧用地,1091112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1535100,1050,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXOMLOLJIPFFFD66DA,0.0,0.0,0.0,無,0010
六甲區,土地,菁埔段961~990地號,6573.0,,一般農業區,農牧用地,1090620,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6770000,1030,,0.0,0,,RPRNMLSJKIPFFFD88DA,0.0,0.0,0.0,無,
六甲區,土地,七甲段1~30地號,322.75,都市：其他:計畫道路用地,,,1090930,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6260000,19396,,0.0,0,預售屋、或土地及建物分次登記案件；,RPXNMLSJKIPFFFD86DA,0.0,0.0,0.0,無,
麻豆區,土地,穀興段91~120地號,74.0,都市：其他:商業區,,,1091118,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1650000,22297,,0.0,0,未登記建物；,RPTNMLTJKIPFFFD56DA,0.0,0.0,0.0,無,
麻豆區,土地,保安段1021~1050地號,133.54,都市：其他:第三種住宅區。,,,1091110,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2398906,17964,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLTJKIPFFFD66DA,0.0,0.0,0.0,無,
麻豆區,土地,港埔段901~930地號,1383.0,,特定農業區,農牧用地,1091202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1660000,1200,,0.0,0,,RPXNMLRJKIPFFFD76DA,0.0,0.0,0.0,無,0011
麻豆區,土地,中興段751~780地號,63.38,都市：其他:計畫道路用地,,,1091125,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2766595,43651,,0.0,0,,RPQNMLKKKIPFFFD08DA,0.0,0.0,0.0,無,
下營區,土地,大屯寮段1921~1950地號,4300.0,,特定農業區,農牧用地,1091106,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5375000,1250,,0.0,0,,RPTNMLKKKIPFFFD38DA,0.0,0.0,0.0,無,
佳里區,土地,龍昌段151~180地號,1074.0,,特定農業區,農牧用地,1091124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2040000,1899,,0.0,0,,RPPNMLPLJIPFFGD58DA,0.0,0.0,0.0,無,
佳里區,土地,新宅段691~720地號,1272.0,,特定農業區,農牧用地,1091113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15300000,12028,,0.0,0,,RPUOMLLJKIPFFGD68DA,0.0,0.0,0.0,無,
西港區,土地,東埔段811~840地號,1817.88,,一般農業區,農牧用地,1091016,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8000000,4401,,0.0,0,,RPQNMLSJKIPFFGD88DA,0.0,0.0,0.0,無,
佳里區,土地,子龍段1411~1440地號,1171.0,,特定農業區,農牧用地,1091120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,2135,,0.0,0,,RPRNMLSJKIPFFGD98DA,0.0,0.0,0.0,無,
佳里區,土地,新安段121~150地號,1105.0,,鄉村區,乙種建築用地,1090703,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8800000,7964,,0.0,0,,RPSNMLSJKIPFFGD09DA,0.0,0.0,0.0,無,
七股區,房地(土地+建物),大潭里台潭121~150號,519.4,,一般農業區,養殖用地,1091126,土地2建物1車位0,全,三層,透天厝,農舍,鋼筋混凝土造,0821022,145.38,5,2,3,有,無,4600000,31641,,0.0,0,,RPROMLSJKIPFFGD09DA,136.37,0.0,9.01,無,0012
西港區,土地,成功段691~720地號,415.32,,鄉村區,乙種建築用地,1090920,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4522300,10889,,0.0,0,預售屋、或土地及建物分次登記案件；,RPRNMLKKKIPFFGD28DA,0.0,0.0,0.0,無,
西港區,土地,子林段,2756.0,,特定農業區,農牧用地,1091015,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,2177,,0.0,0,,RPTNMLKKKIPFFGD48DA,0.0,0.0,0.0,無,
佳里區,土地,佳化段841~870地號,139.76,,鄉村區,乙種建築用地,1091130,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,883885,6324,,0.0,0,交通用地買賣不計價親友、員工、共有人或其他特殊關係間之交易；,RPUNMLKKKIPFFGD58DA,0.0,0.0,0.0,無,
佳里區,土地,子龍段361~390地號,6.0,,鄉村區,交通用地,1091201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,42000,7000,,0.0,0,政府機關標讓售；,RPXNMLKKKIPFFGD88DA,0.0,0.0,0.0,無,
七股區,土地,玉成段691~720地號,730.27,,鄉村區,乙種建築用地,1091125,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13095514,17932,,0.0,0,,RPWNMLTJKIPFFGD96DA,0.0,0.0,0.0,無,
善化區,房地(土地+建物),善新西路218巷1~30號,241.49,都市：其他:生活服務區(第一種住宅區),,,1090624,土地5建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1090110,290.06,5,2,5,有,無,23600000,81362,,0.0,0,,RPWPMLMLIIPFFHD56DA,266.47,0.0,23.55,有,
