鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
萬巒鄉,房地(土地+建物),富興路31~60號,86.8,,鄉村區,乙種建築用地,1100103,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830831,114.4,3,2,2,有,無,2950000,25787,,0.0,0,,RPVOMLPLJHGGFCT96DA,100.98,0.0,13.42,無,1597
內埔鄉,房地(土地+建物),壽比路241~270號,6.47,,鄉村區,乙種建築用地,1100130,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0920501,21.63,1,1,1,有,有,430000,19880,,0.0,0,,RPSPMLSKKHGGFCT07DA,13.1,0.82,0.0,有,1598
內埔鄉,土地,溝底段661~690地號,6059.2,,一般農業區,農牧用地,1091203,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15625000,2579,,0.0,0,農作物；農業設施；,RPPNMLNLKHGGFCT78DA,0.0,0.0,0.0,無,
內埔鄉,房地(土地+建物),永光路1~30號,45.23,都市：其他:住宅區,,,1100106,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1080131,120.48,3,1,2,有,無,4200000,34861,,0.0,0,,RPTNMLNLKHGGFCT56DA,77.05,0.0,4.59,有,1599
內埔鄉,房地(土地+建物),南華路361巷1~30號,138.6,都市：其他:住宅區,,,1091219,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1081025,226.47,5,2,5,有,無,12250000,54091,,0.0,0,,RPQOMLNLKHGGFCT98DA,209.81,0.0,16.66,無,
潮州鎮,土地,五魁寮段二小段91~120地號,449.0,都市：其他:住宅區,,,1100112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,37894000,84396,,0.0,0,,RPSNMLOLKHGGFCT56DA,0.0,0.0,0.0,無,
潮州鎮,房地(土地+建物),忠孝路1~30號,41.5,都市：其他:商業區,,,1100119,土地2建物1車位0,全,三層,透天厝,住商用,見其他登記事項,0560623,114.0,3,1,2,有,無,3000000,26316,,0.0,0,,RPTOMLOLKHGGFCT76DA,114.0,0.0,0.0,無,
潮州鎮,土地,崙潮段151~180地號,118.6,,鄉村區,乙種建築用地,1100215,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,700000,5902,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLRKKHGGFCT76DA,0.0,0.0,0.0,無,
內埔鄉,土地,新埔段451~480地號,967.6,都市：其他:道路用地,,,1091103,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10500000,10852,,0.0,0,,RPSNMLNJKHGGFCT88DA,0.0,0.0,0.0,無,
萬巒鄉,土地,西盛段1111~1140地號,201.46,,一般農業區,農牧用地,1090917,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,280000,1390,,0.0,0,畸零地或有合併使用效益；,RPQOMLNJKHGGFCT78DA,0.0,0.0,0.0,無,
