鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
善化區,建物,臺南市善化區文化路1~30號,0.0,住,,,1091210,土地0建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960927,174.0,3,2,2,有,無,有,18000,103,,0.0,0,參加臺南市社會住宅包租代管第2期計畫，租金為市價9折,RPOOMLLKKIPFFHD38CC
永康區,建物,臺南市永康區新興街35巷23弄1~30號,0.0,住,,,1091130,土地0建物1車位0,全,5,透天厝,住家用,見其他登記事項,1011206,217.41000000000003,1,0,1,有,有,有,6500,30,,0.0,0,,RPPOMLLKKIPFFKD78CC
永康區,建物,臺南市永康區正南五街289巷61~90號,0.0,住,,,1091201,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821228,32.31,1,1,1,有,無,有,5500,170,,0.0,0,參加臺南市社會住宅包租代管第2期計畫，租金為市價9折,RPQOMLLKKIPFFKD88CC
永康區,建物,臺南市永康區東橋十二街151~180號,0.0,住,,,1091210,土地0建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1080315,90.61,2,2,2,有,無,有,17000,188,,0.0,0,參加臺南市社會住宅包租代管第2期計畫，租金為市價9折,RPROMLLKKIPFFKD98CC
永康區,建物,臺南市永康區永康里文化路31~60號,0.0,商,,,1091127,土地0建物1車位0,十一層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0840228,144.94,3,2,2,有,有,有,17500,121,,0.0,0,台南市社會住宅包租代管第二期計畫，租金不含停車位及管理費,RPUPMLLKKIPFFKD76CC
仁德區,房地(土地+建物),臺南市仁德區太子路689巷31~60號,244.46,工,,,1091112,土地1建物1車位0,見其他登記事項,1,工廠,見其他登記事項,見其他登記事項,1070807,161.7,0,0,0,無,無,無,32000,,,0.0,0,,RPUOMLLKKIPFFID09CC
歸仁區,土地,媽祖廟段一小段781~810地號,495.87,,特定農業區,農牧用地,1091112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,38000,77,,0.0,0,含增建或未登記建物。；承租地坪約150坪，承租未保存登記建物約130坪。租賃期間：5年0個月27天。,RPVOMLLKKIPFFID56CC
柳營區,房地(土地+建物),臺南市柳營區中山西路一段91~120號,93.0,商,,,1091113,土地2建物1車位0,一層,4,店面(店鋪),住商用,鋼筋混凝土造,1050331,47.41,0,1,1,有,無,有,13000,274,,0.0,0,,RPROMLLKKIPFFDD38DC
柳營區,房地(土地+建物),臺南市柳營區中山西路一段91~120號,93.0,商,,,1091113,土地2建物1車位0,一層,4,店面(店鋪),住商用,鋼筋混凝土造,1050331,47.41,0,1,1,有,無,有,13000,274,,0.0,0,,RPPNMLMKKIPFFDD08CC
新營區,房地(土地+建物),臺南市新營區民權路61~90號,212.05,商,,,1091202,土地4建物1車位0,一層,4,店面(店鋪),住商用,鋼筋混凝土造,1080116,132.2,0,2,1,有,無,有,22000,166,,0.0,0,,RPQNMLMKKIPFFDD18CC
善化區,建物,臺南市善化區成大路271~300號,0.0,住,,,1091123,土地0建物0車位0,全,5,透天厝,住家用,鋼筋混凝土造,0950607,32.49,1,0,1,有,無,有,6500,200,,0.0,0,租賃範圍不含車位，且無法區分車位面積。；未提供土地租賃契約書,RPQNMLOKKIPFFHD78CC
永康區,建物,臺南市永康區中華路661~690號,104.13,住,,,1091114,土地0建物1車位0,二層,14,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0850408,148.22,0,0,0,無,無,有,18000,121,,0.0,0,,RPROMLOKKIPFFKD66CC
