鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
泰安鄉,土地,南洗水段1351~1380地號,5440.0,,山坡地保育區,農牧用地,1090812,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,735,,0.0,0,,RPPNMLTJKIPFFAK98DA,0.0,0.0,0.0,無,0001
泰安鄉,土地,麻必浩段931~960地號,8980.0,,山坡地保育區,農牧用地,1091118,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,501,,0.0,0,,RPQNMLTJKIPFFAK09DA,0.0,0.0,0.0,無,0002
公館鄉,房地(土地+建物),五谷村1~30號,143.64,都市：其他:乙種工業區,,,1091107,土地2建物1車位0,全,二層,透天厝,住工用,鋼筋混凝土造,0791201,161.06,3,2,2,有,無,5700000,35391,,0.0,0,其他增建；,RPWOMLSJKIPFFBK17DA,149.44,4.66,6.96,無,0003
苗栗市,房地(土地+建物)+車位,嘉盛里14鄰為公路559巷1~30號,39.71,,特定農業區,甲種建築用地,1091023,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1091005,137.9,3,2,2,有,有,5800000,42059,一樓平面,0.0,0,,RPXOMLSJKIPFFBK27DA,91.65,0.0,8.78,有,
苗栗市,房地(土地+建物)+車位,嘉盛里14鄰為公路559巷1~30號,39.94,,特定農業區,甲種建築用地,1091114,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1091005,138.4,3,2,2,有,有,5800000,41908,一樓平面,0.0,0,,RPOPMLSJKIPFFBK09DA,90.8,0.0,10.04,有,
苗栗市,房地(土地+建物)+車位,嘉盛里14鄰為公路559巷1~30號,49.7,,特定農業區,甲種建築用地,1091030,土地1建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1091005,172.15,4,2,2,有,有,7880000,45774,一樓平面,0.0,0,,RPPPMLSJKIPFFBK56DA,114.79,0.0,14.9,有,
苗栗市,房地(土地+建物),福麗里13鄰至公路441巷1~30號,106.0,都市：其他:住宅區,,,1091115,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1071210,219.01,5,2,4,有,無,11000000,50226,,0.0,0,,RPPNMLTJKIPFFBK09DA,196.49,0.0,22.52,無,
苗栗市,房地(土地+建物)+車位,嘉盛里14鄰為公路559巷1~30號,39.71,,特定農業區,甲種建築用地,1091025,土地1建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1091005,137.9,3,2,2,有,有,6000000,43510,一樓平面,0.0,0,,RPQNMLTJKIPFFBK56DA,91.65,0.0,8.78,有,
苗栗市,房地(土地+建物)+車位,嘉盛里14鄰為公路559巷1~30號,39.57,,特定農業區,甲種建築用地,1091030,土地1建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1091005,137.09,3,2,2,有,有,5880000,42892,一樓平面,0.0,0,,RPRNMLTJKIPFFBK66DA,89.74,0.0,9.98,有,
