交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
土地,小半天段511~540地號,1020613,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,65000,65,0,0495
土地,小半天段511~540地號,1100225,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,120000,120,0,0495
土地,中興段91~120地號,1041123,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,1780000,7221,0,0496
土地,中興段91~120地號,1070712,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,4000000,16227,0,0496
土地,中興段91~120地號,1100226,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,380000,8085,0,0496
土地,中興段91~120地號,1100304,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,400000,8511,0,0496
土地,土城段181~210地號,1080708,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,16000000,5717,0,0497
土地,土城段181~210地號,1090102,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,21165000,7562,0,0497
房地(土地+建物),育樂一街19巷1~30號,1100220,土地1建物1車位0,全,二層,透天厝,44,99.6,4,2,2,有,無,3200000,32129,0,0498
房地(土地+建物),育樂一街19巷1~30號,1100311,土地1建物1車位0,全,二層,透天厝,44,99.6,4,2,2,有,無,4000000,40161,0,0498
土地,隘寮段181~210地號,1041209,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1850000,26497,0,0499
土地,隘寮段181~210地號,1091017,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,10800000,48240,0,0499
土地,隘寮段181~210地號,1060810,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,1057540,28738,0,0500
土地,隘寮段181~210地號,1091022,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3860000,34737,0,0500
