鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
宜蘭市,建物,宜蘭縣宜蘭市舊城南路31~60號,0.0,商,,,1100102,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0941007,29.22,1,0,1,有,無,有,5000,171,,0.0,0,,RPTNMLRJJHGGFBG97CC
頭城鎮,建物,宜蘭縣頭城鎮大坑路181~210號,0.0,住,,,1100111,土地0建物1車位0,八層,9,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1021211,44.15,1,1,1,有,有,有,11000,249,,0.0,0,,RPQPMLLKJHGGFBG37CC
礁溪鄉,建物,宜蘭縣礁溪鄉成功路121~150號,0.0,住,,,1100111,土地0建物1車位0,全,1,透天厝,住家用,磚造,0450515,14.78,1,0,1,有,無,有,8000,541,,0.0,0,,RPRPMLLKJHGGFBG47CC
五結鄉,建物,宜蘭縣五結鄉季水路清水一巷2弄31~60號,0.0,,鄉村區,乙種建築用地,1100104,土地0建物1車位0,見其他登記事項,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0870602,155.31,3,2,2,有,有,有,10800,70,,0.0,0,,RPUNMLMKJHGGFAG57CC
羅東鎮,建物,宜蘭縣羅東鎮倉前路61~90號,0.0,商,,,1100108,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831213,109.86000000000001,3,2,2,有,有,有,11700,106,,0.0,0,,RPVNMLMKJHGGFAG67CC
壯圍鄉,建物,宜蘭縣壯圍鄉大福路三段421~450號,0.0,,特定農業區,甲種建築用地,1091229,土地1建物0車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0701230,128.5,2,2,2,有,無,無,10000,78,,0.0,0,,RPQNMLNKJHGGFBG37CC
礁溪鄉,建物,宜蘭縣礁溪鄉礁溪路七段1~30號,0.0,,一般農業區,甲種建築用地,1100110,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0660215,47.3,0,0,2,有,無,有,13000,275,,0.0,0,,RPOOMLNKJHGGFBG27CC
宜蘭市,建物,宜蘭縣宜蘭市民權新路271~300號,0.0,住,,,1091217,土地0建物1車位0,一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880121,80.46,3,2,2,有,有,有,16000,199,,0.0,0,,RPSNMLOKJHGGFBG67CC
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市進士路31~60號,84.63,農,,,1100113,土地1建物1車位0,全,1,透天厝,住家用,鋼筋混凝土加強磚造,0650927,44.39,5,2,2,有,無,有,18000,405,,0.0,0,,RPVNMLPKJHGGFBG08CC
礁溪鄉,建物,宜蘭縣礁溪鄉仁愛路156巷1~30號,0.0,住,,,1100112,土地0建物1車位0,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861226,98.91,3,2,2,有,有,有,18000,182,,0.0,0,,RPOOMLMLJHGGFBG27CC
