鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新興區,房地(土地+建物),高雄市新興區復興二路301~330號,9.16,商,,,1100110,土地1建物1車位0,十三層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840911,157.51,4,2,2,有,有,有,25000,159,,0.0,0,,RPXNMLQJKHGGFBE18CC
苓雅區,建物,高雄市苓雅區林森二路1~30號,0.0,商,,,1100128,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0771205,116.28,3,1,2,有,有,有,13500,116,,0.0,0,高雄市政府包租代管計畫,RPWNMLSJKHGGFBE28CC
苓雅區,建物,高雄市苓雅區廣東一街11巷1~30號,0.0,住,,,1100126,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0700503,81.72,3,2,2,有,無,有,13500,165,,0.0,0,高雄市政府包租代管計畫,RPXNMLSJKHGGFBE38CC
新興區,建物,高雄市新興區八德一路301~330號,0.0,商,,,1100130,土地0建物1車位0,五層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0720912,94.22,3,2,2,有,有,有,9000,96,,0.0,0,高雄市政府包租代管計畫,RPQOMLSJKHGGFBE77CC
苓雅區,建物,高雄市苓雅區四維三路241~270號,0.0,商,,,1100208,土地0建物1車位0,九層,12,辦公商業大樓,,鋼筋混凝土造,0781109,7.87,0,0,0,無,有,無,2300,292,,0.0,0,續租。；9樓為整層屋主自行隔間出租,RPVOMLSJKHGGFBE28CC
苓雅區,建物,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1100203,土地0建物1車位0,二十層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,120.6,3,2,2,有,有,有,15000,124,,0.0,0,,RPXOMLSJKHGGFBE48CC
鼓山區,房地(土地+建物),高雄市鼓山區鼓山一路121~150號,10.14,住,,,1100119,土地1建物1車位0,五層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000120,102.97,2,1,1,有,有,有,22000,214,,0.0,0,,RPVNMLSJKHGGFAE08CC
三民區,房地(土地+建物)+車位,高雄市三民區九如一路151~180號,12.86,商,,,1100131,土地2建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000527,150.48,3,2,2,有,有,有,29500,196,坡道平面,17.85,0,,RPQPMLSJKHGGFDE08CC
三民區,建物,高雄市三民區明誠一路361~390號,0.0,住,,,1100127,土地0建物1車位0,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900413,76.38,2,2,1,有,有,有,12000,157,,0.0,0,高雄市政府包租代管計畫,RPRPMLSJKHGGFDE18CC
三民區,房地(土地+建物),高雄市三民區平等路23巷1~30號,28.2,住,,,1100205,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0721212,91.1,3,1,2,有,無,無,10000,110,,0.0,0,,RPSPMLSJKHGGFDE28CC
