鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
士林區,建物,臺北市士林區德行東路109巷61~90號,0.0,住,,,1091113,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030213,247.87,4,2,2,有,有,有,100000,403,,0.0,0,,RPQNMLMKKIPFFEA97CC
松山區,建物,臺北市松山區八德路二段331~360號,0.0,商,,,1091109,土地0建物1車位0,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980123,69.57,2,1,1,有,有,有,38000,546,,0.0,0,,RPPNMLMKKIPFFDA77CC
松山區,建物,臺北市松山區八德路三段151~180號,0.0,商,,,1091130,土地0建物1車位0,五層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070331,149.68,3,2,2,有,有,有,81000,541,,0.0,0,,RPSNMLMKKIPFFDA08CC
信義區,建物,臺北市信義區莊敬路361~390號,0.0,商,,,1091113,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0720210,104.66,0,0,0,無,有,無,40000,382,,0.0,0,,RPUNMLMKKIPFFDA28CC
大同區,建物,臺北市大同區涼州街1~30號,0.0,住,,,1091116,土地0建物1車位0,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000318,140.03,3,2,2,有,有,有,40000,286,,0.0,0,,RPPNMLMKKIPFFBA57CC
大同區,建物,臺北市大同區寧夏路1~30號,0.0,商,,,1091126,土地0建物1車位0,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001130,59.86,2,1,1,有,有,有,34000,568,,0.0,0,,RPQNMLMKKIPFFBA67CC
大同區,建物,臺北市大同區市民大道一段181~210號,0.0,其他,,,1091124,土地0建物1車位0,十六層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0980724,92.41,2,1,1,有,有,有,48000,519,,0.0,0,,RPRNMLMKKIPFFBA77CC
大同區,建物,臺北市大同區太原路61~90號,0.0,商,,,1091124,土地0建物1車位0,三層,14,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0971211,96.47,2,2,1,有,有,有,35000,363,,0.0,0,,RPSNMLMKKIPFFBA87CC
大同區,建物,臺北市大同區市民大道一段211~240號,0.0,其他,,,1091120,土地0建物1車位0,十五層,18,辦公商業大樓,見其他登記事項,見其他登記事項,0980724,60.21,1,1,1,有,有,有,34000,565,,0.0,0,,RPVNMLMKKIPFFBA18CC
中山區,建物,臺北市中山區朱崙街61~90號,0.0,住,,,1091130,土地0建物1車位0,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0970612,517.85,5,2,3,有,有,有,262510,507,坡道平面,136.22,0,,RPVNMLMKKIPFFCA28CC
