交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物)+車位,國安三街1~30號,1100126,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),28,151.1,4,2,2,有,有,5750000,38054,0,272
房地(土地+建物),嘉義市嘉義巿大雅路一段181~210號,1020717,土地1建物1車位0,八層，夾層,十層,華廈(10層含以下有電梯),17,56.38,2,1,1,有,無,1000000,17737,0,273
房地(土地+建物),大雅路一段181~210號,1100129,土地1建物1車位0,八層，夾層,十層,華廈(10層含以下有電梯),25,56.38,2,1,1,有,有,3000000,53210,0,273
房地(土地+建物),嘉義市嘉義市中興路31~60號,1080111,土地1建物1車位0,六層,十層,套房(1房1廳1衛),30,37.2,1,1,1,有,有,860000,23118,0,274
房地(土地+建物),中興路31~60號,1100218,土地1建物1車位0,六層,十層,華廈(10層含以下有電梯),32,37.2,1,1,1,有,有,1550000,41667,0,274
房地(土地+建物),嘉義市嘉義市芳安路337巷1~30號,1090102,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),39,136.73,3,2,2,有,無,1900000,13896,0,275
房地(土地+建物),芳安路337巷1~30號,1100204,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),40,136.73,4,2,2,有,無,3880000,28377,0,275
土地,溪厝段361~390地號,1050704,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,182164,4790,0,276
土地,溪厝段361~390地號,1100117,土地4建物0車位0,,,其他,-1,0.0,0,0,0,有,無,13700000,5141,0,276
房地(土地+建物)+車位,嘉義市嘉義巿自強街195巷31~60號,1020926,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),18,80.63,2,2,1,有,有,1700000,21084,0,277
房地(土地+建物)+車位,自強街195巷31~60號,1100120,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),25,80.63,2,2,1,有,有,3080000,38199,0,277
房地(土地+建物)+車位,嘉義市嘉義巿自強街195巷31~60號,1020520,土地1建物1車位1,一層,七層,華廈(10層含以下有電梯),18,106.89,3,2,2,有,有,2600000,24324,0,278
房地(土地+建物)+車位,自強街195巷31~60號,1100120,土地1建物1車位1,一層,七層,華廈(10層含以下有電梯),25,106.89,3,2,2,有,有,3250000,30405,0,278
房地(土地+建物)+車位,嘉義市嘉義市世賢路一段631~660號,1090423,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),26,101.68,2,2,1,有,有,2350000,23112,0,279
房地(土地+建物)+車位,世賢路一段631~660號,1100127,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),27,101.68,2,2,1,有,有,4380000,43076,0,279
房地(土地+建物),嘉義市嘉義巿仁愛路240巷1~30號,1050130,土地1建物1車位0,一層,十四層,住宅大樓(11層含以上有電梯),11,187.01,3,2,2,有,無,3381596,18082,0,280
房地(土地+建物)+車位,仁愛路240巷1~30號,1100202,土地1建物1車位1,一層,十四層,住宅大樓(11層含以上有電梯),16,187.01,3,2,2,有,有,4808079,25710,0,280
房地(土地+建物),嘉義市嘉義巿彌陀路121~150號,1021102,土地1建物1車位0,四層,二十層,住宅大樓(11層含以上有電梯),18,76.4,1,1,1,有,有,1370000,17932,0,281
房地(土地+建物),嘉義市嘉義市彌陀路121~150號,1080413,土地1建物1車位0,四層,二十層,套房(1房1廳1衛),23,76.4,1,1,1,有,有,1700000,22251,0,281
房地(土地+建物),嘉義市嘉義市彌陀路121~150號,1080604,土地1建物1車位0,四層,二十層,住宅大樓(11層含以上有電梯),23,76.4,2,2,1,有,有,2800000,36649,0,281
房地(土地+建物),彌陀路121~150號,1100129,土地1建物1車位0,四層,二十層,住宅大樓(11層含以上有電梯),25,76.4,2,1,1,有,有,3000000,39267,0,281
房地(土地+建物)+車位,嘉義市嘉義巿興業西路151~180號,1050106,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),11,169.32,3,2,2,有,有,3662915,21633,0,282
房地(土地+建物)+車位,興業西路151~180號,1100217,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),16,169.32,3,1,2,有,有,3837915,22667,0,282
土地,竹圍子段中興小段121~150地號,1081231,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,34500000,69277,0,283
土地,竹圍子段中興小段121~150地號,1091204,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,36000000,72289,0,283
房地(土地+建物),嘉義市嘉義巿永安街331~360號,1041214,土地1建物1車位0,一層,十二層,住宅大樓(11層含以上有電梯),11,187.93,3,1,2,有,有,3385174,18013,0,284
房地(土地+建物)+車位,永安街331~360號,1090410,土地1建物1車位1,一層,十二層,住宅大樓(11層含以上有電梯),15,187.93,3,2,2,有,有,6000000,31927,0,284
房地(土地+建物),嘉義市嘉義市健康十五街31~60號,1090602,土地2建物1車位0,全,三層,透天厝,0,181.93,4,1,5,有,無,8930000,49085,0,285
房地(土地+建物),健康十五街31~60號,1090914,土地2建物1車位0,全,三層,透天厝,0,181.93,4,2,4,有,無,11000000,60463,0,285
房地(土地+建物),健康十五街31~60號,1100127,土地2建物1車位0,全,三層,透天厝,1,181.93,4,2,5,有,無,12450000,68433,0,285
土地,民族段四小段31~60地號,1091228,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2200000,147750,0,292
土地,民族段四小段31~60地號,1100125,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2200000,147750,0,292
房地(土地+建物),嘉義市嘉義巿紅毛埤91~120號,1030831,土地5建物1車位0,全,四層,透天厝,5,212.35,12,0,12,有,無,8000000,37674,0,294
房地(土地+建物),紅毛埤91~120號,1100106,土地5建物1車位0,全,四層,透天厝,12,212.35,12,0,12,有,無,8350000,39322,0,294
房地(土地+建物),嘉義市嘉義市蘭井街451~480號,1060106,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),24,102.28999999999999,0,0,1,無,有,3000000,29328,0,295
房地(土地+建物),蘭井街451~480號,1100117,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),28,102.28999999999999,0,0,0,無,有,2800000,27373,0,295
房地(土地+建物),嘉義市嘉義巿小雅路181~210號,1020926,土地1建物1車位0,九層,十六層,套房(1房1廳1衛),20,68.06,1,1,1,有,有,950000,13958,0,296
房地(土地+建物),小雅路181~210號,1091224,土地1建物1車位0,九層,十六層,住宅大樓(11層含以上有電梯),28,68.06,1,1,1,有,有,2330000,34234,0,296
房地(土地+建物),蘭井街151~180號,1090914,土地2建物1車位0,五層,六層,華廈(10層含以下有電梯),30,35.29,0,0,0,無,有,1100000,31170,0,298
房地(土地+建物),蘭井街151~180號,1100206,土地2建物1車位0,五層,六層,華廈(10層含以下有電梯),30,35.29,1,1,1,有,有,2200000,62341,0,298
房地(土地+建物)+車位,泰瑞四街61~90號,1090917,土地1建物1車位1,六層,六層,華廈(10層含以下有電梯),22,147.47,3,2,2,有,有,5000000,33905,0,299
房地(土地+建物)+車位,泰瑞四街61~90號,1091231,土地1建物1車位1,六層,六層,華廈(10層含以下有電梯),23,147.47,3,2,2,有,有,5300000,35940,0,299
房地(土地+建物),嘉義市嘉義巿林森東路684巷2弄1~30號,1030702,土地1建物1車位0,全,二層,透天厝,39,77.56,3,1,2,有,無,4300000,55441,0,300
房地(土地+建物),林森東路684巷2弄1~30號,1100202,土地1建物1車位0,全,二層,透天厝,45,77.56,3,2,3,有,無,6500000,83806,0,300
房地(土地+建物),嘉義市嘉義巿民族路601~630號,1050107,土地1建物1車位0,六層,十層,套房(1房1廳1衛),23,42.25,1,1,1,有,有,550000,13018,0,301
房地(土地+建物),嘉義市嘉義市民族路601~630號,1090210,土地1建物1車位0,六層,十層,套房(1房1廳1衛),27,42.25,1,1,1,有,有,1200000,28402,0,301
房地(土地+建物),民族路601~630號,1100203,土地1建物1車位0,六層,十層,華廈(10層含以下有電梯),28,42.25,1,0,1,有,有,1800000,42604,0,301
土地,下路頭段121~150地號,1040322,土地3建物0車位0,,,其他,0,0.0,0,0,0,有,無,11330000,34543,0,302
土地,下路頭段121~150地號,1100123,土地3建物0車位0,,,其他,-1,0.0,0,0,0,有,無,14500000,44207,0,302
房地(土地+建物)+車位,友孝路211~240號,1051021,土地1建物1車位1,一層，見其他登記事項,九層,華廈(10層含以下有電梯),0,86.56,1,1,1,有,有,4000000,48006,400000,303
房地(土地+建物)+車位,友孝路211~240號,1100103,土地1建物1車位1,一層，見其他登記事項,九層,華廈(10層含以下有電梯),1,86.56,3,1,2,有,有,5000000,57763,0,303
房地(土地+建物),姜文街211~240號,1090717,土地1建物1車位0,全,四層,透天厝,21,223.31,5,2,3,有,無,6700000,30003,0,305
房地(土地+建物),姜文街211~240號,1100203,土地1建物1車位0,全,四層,透天厝,22,223.31,5,2,3,有,無,8000000,35825,0,305
房地(土地+建物),彌陀路121~150號,1090731,土地1建物1車位0,十三層,二十層,住宅大樓(11層含以上有電梯),24,97.22,2,1,1,有,有,2650000,27258,0,306
房地(土地+建物),彌陀路121~150號,1100123,土地1建物1車位0,十三層,二十層,住宅大樓(11層含以上有電梯),25,97.22,3,1,1,有,有,3900000,40115,0,306
房地(土地+建物),嘉義市嘉義巿志昇街31~60號,1041214,土地2建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),11,183.64,3,1,2,有,有,3380850,18410,0,307
房地(土地+建物),志昇街31~60號,1100102,土地2建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),16,183.64,3,2,2,有,有,7650000,41658,0,307
房地(土地+建物)+車位,大雅路二段421~450號,1091005,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),26,120.15,2,1,2,有,無,3550000,29546,0,308
