鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
安南區,土地,顯宮段391~420地號,1000.0,農,,,1090420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1815000,1815,,0.0,0,,RPUNMLSKNHPFFBD98CA,0.0,0.0,0.0,
安南區,房地(土地+建物)+車位,臺南市安南區永續三街61~90號,21.49,住,,,1071110,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090114,148.15,3,2,2,有,有,6800000,48509,坡道機械,21.37,650000,,RPQOMLKLNHPFFBD97CA,75.2,0.0,8.03,
安南區,房地(土地+建物)+車位,臺南市安南區永續三街61~90號,21.78,住,,,1071013,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090114,157.28,3,2,2,有,有,8150000,54824,坡道平面,30.51,1200000,,RPROMLKLNHPFFBD08CA,75.2,0.0,8.03,
安南區,房地(土地+建物)+車位,臺南市安南區永續三街61~90號,14.96,住,,,1080605,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090114,116.65,2,2,2,有,有,6050000,55143,坡道平面,30.51,1300000,,RPSOMLKLNHPFFBD18CA,53.59,0.0,3.0,
安南區,房地(土地+建物)+車位,臺南市安南區永續三街61~90號,21.49,住,,,1070901,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090114,148.15,3,2,2,有,有,7070000,51191,坡道機械,21.37,580000,,RPTOMLKLNHPFFBD28CA,75.2,0.0,8.03,
安南區,房地(土地+建物)+車位,臺南市安南區永續三街61~90號,21.49,住,,,1070911,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090114,148.15,3,2,2,有,有,7500000,54583,坡道機械,21.37,580000,,RPUOMLKLNHPFFBD38CA,75.2,0.0,8.03,
安南區,房地(土地+建物)+車位,臺南市安南區永續三街61~90號,14.96,住,,,1080108,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090114,116.51,2,2,2,有,有,5690000,52209,坡道平面,30.51,1200000,,RPVOMLKLNHPFFBD48CA,53.59,0.0,2.86,
安南區,房地(土地+建物)+車位,臺南市安南區永續三街61~90號,14.93,住,,,1070907,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090114,109.09,2,2,2,有,有,4800000,49020,坡道機械,21.37,500000,,RPUNMLKLNHPFFBD28CA,54.59,0.0,2.99,
安南區,房地(土地+建物)+車位,臺南市安南區永續三街61~90號,14.68,住,,,1070829,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090114,107.51,2,2,2,有,有,4680000,48526,坡道機械,21.37,500000,,RPVNMLKLNHPFFBD38CA,53.59,0.0,3.0,
安南區,房地(土地+建物)+車位,臺南市安南區永續三街61~90號,15.07,住,,,1071125,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090114,109.6,2,2,2,有,有,5400000,55763,坡道機械,21.37,480000,,RPWNMLKLNHPFFBD48CA,52.77,0.0,5.13,
安南區,房地(土地+建物)+車位,臺南市安南區永續三街61~90號,21.55,住,,,1071209,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090114,149.02999999999997,3,2,2,有,有,6750000,48567,坡道機械,21.37,550000,,RPXNMLKLNHPFFBD58CA,75.49,0.0,8.33,
安南區,房地(土地+建物)+車位,臺南市安南區永續三街61~90號,14.93,住,,,1070908,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090114,109.09,2,2,2,有,有,5350000,55290,坡道機械,21.37,500000,,RPOOMLKLNHPFFBD77CA,54.59,0.0,2.99,
安南區,房地(土地+建物)+車位,臺南市安南區永續三街61~90號,22.43,住,,,1081231,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090114,159.76,3,2,2,有,有,7950000,52024,坡道平面,29.05,1150000,,RPSNMLPLNHPFFBD58CA,78.04,0.0,7.77,
安南區,房地(土地+建物),臺南市安南區安興街211~240號,70.66,住,,,1080714,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1081112,151.77,4,1,3,有,無,6500000,42828,,0.0,0,,RPXOMLPLNHPFFBD56CA,135.25,0.0,16.52,
安南區,土地,砂崙段301~330地號,1095.86,農,,,1090422,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6231824,5687,,0.0,0,,RPSNMLQLNHPFFBD68CA,0.0,0.0,0.0,
安南區,房地(土地+建物),臺南市安南區安中路一段702巷31~60號,74.13,住,,,1090212,土地14建物1車位0,三層,四層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0700907,105.03999999999999,3,2,2,有,無,2800000,26659,,0.0,0,,RPRNMLLJOHPFFBD97CA,82.22,0.01,11.74,
南區,土地,明興段211~240地號,1017.77,農,,,1090406,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8620512,8470,,0.0,0,,RPQOMLMKNHPFFCD18CA,0.0,0.0,0.0,
南區,土地,南豐段61~90地號,1132.14,農,,,1090413,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5137086,4538,,0.0,0,,RPROMLMKNHPFFCD28CA,0.0,0.0,0.0,
東區,房地(土地+建物)+車位,臺南市東區中華東路二段185巷1~30號,10.87,住,,,1090401,土地3建物1車位1,六層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841106,152.36,3,2,2,有,有,7000000,45944,坡道平面,0.0,0,全新裝潢,RPTOMLMKNHPFFCD48CA,82.94,0.0,12.21,
南區,房地(土地+建物),臺南市南區德興路164巷31~60號,18.39,住,,,1090225,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0811208,76.84,2,1,1,有,無,1700000,22124,,0.0,0,,RPUOMLMKNHPFFCD58CA,55.64,1.54,6.11,
東區,房地(土地+建物),臺南市東區仁和路121~150號,176.0,住,,,1090315,土地2建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0700610,234.86,5,5,4,有,無,26000000,110704,,0.0,0,,RPXOMLMKNHPFFCD88CA,224.68,0.0,10.18,
東區,房地(土地+建物)+車位,臺南市東區崇德十八街1~30號,13.2,商,,,1090325,土地1建物1車位1,三層,六層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0820216,86.38000000000001,3,2,2,有,有,4150000,48044,升降機械,0.0,0,,RPOPMLMKNHPFFCD08CA,61.23,0.0,3.28,
東區,房地(土地+建物),臺南市東區德東街151巷37弄1~30號,15.27,住,,,1090331,土地3建物1車位0,八層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840223,94.28,2,2,1,有,有,3100000,32881,,0.0,0,,RPPNMLNKNHPFFCD08CA,48.47,17.6,6.2,
南區,房地(土地+建物),臺南市南區金華路一段530巷10弄1~30號,82.61,住,,,1090413,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0900803,243.53,4,2,4,有,無,10200000,41884,,0.0,0,含增建或未登記建物。;,RPSNMLNKNHPFFCD38CA,221.01,12.67,9.85,
東區,土地,德高段601~630地號,666.23,其他,,,1090416,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8777469,13175,,0.0,0,包含公共設施保留地之交易。;,RPTNMLNKNHPFFCD48CA,0.0,0.0,0.0,
東區,房地(土地+建物),臺南市東區忠孝里崇明七街1~30號,5.72,住,,,1090430,土地1建物1車位0,七層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0790922,32.03,1,0,1,有,有,1150000,35904,,0.0,0,,RPVNMLKLNHPFFCD48CA,21.82,0.0,3.72,
東區,房地(土地+建物),臺南市東區泉南里東門路一段61~90號,3.47,住,,,1090426,土地2建物1車位0,九層,九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0800122,22.09,1,0,1,有,有,800000,36215,,0.0,0,,RPTOMLLLNHPFFCD48CA,11.0,0.94,1.9,
東區,房地(土地+建物),臺南市東區關聖里裕忠路61~90號,99.24,住,,,1090402,土地2建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1000520,251.94,5,2,4,有,有,22000000,87322,,0.0,0,,RPVPMLMLNHPFFCD88CA,220.34,0.55,31.05,
東區,車位,臺南市東區仁和路31~60號,0.6,住,,,1090423,土地0建物0車位1,,,其他,,,,24.43,0,0,0,有,有,1350000,,坡道平面,24.43,1350000,單獨車位交易。;,RPTNMLQLNHPFFCD88CA,0.0,0.0,0.0,
東區,房地(土地+建物),臺南市東區立德十路1~30號,8.07,商,,,1090412,土地3建物1車位0,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811222,69.42,2,2,1,有,有,2750000,39614,,0.0,0,,RPSPMLSLNHPFFCD56CA,50.71,0.0,8.87,
鹽水區,土地,孫厝寮段番子寮小段421~450地號,3832.0,,特定農業區,農牧用地,1090504,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3330000,869,,0.0,0,,RPRNMLLKNHPFFDD18CA,0.0,0.0,0.0,
新營區,土地,王公廟段1~30地號,721.0,工,,,1090324,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11341200,15730,,0.0,0,,RPQNMLMKNHPFFDD18CA,0.0,0.0,0.0,
新營區,土地,濟安段601~630地號,245.64,商,,,1081206,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12109700,49299,,0.0,0,,RPRNMLMKNHPFFDD28CA,0.0,0.0,0.0,
柳營區,房地(土地+建物),臺南市柳營區果毅里6鄰果毅後31~60號,131.99,,鄉村區,乙種建築用地,1090409,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1051013,161.22,5,2,4,有,無,7000000,43419,,0.0,0,,RPTNMLMKNHPFFDD48CA,159.19,0.0,2.03,
柳營區,房地(土地+建物),臺南市柳營區果毅里6鄰果毅後31~60號,137.0,,鄉村區,乙種建築用地,1090417,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1051013,159.45,5,2,4,有,無,6950000,43587,,0.0,0,,RPUNMLMKNHPFFDD58CA,158.61,0.0,0.84,
鹽水區,土地,孫厝段151~180地號,1772.73,,特定農業區,農牧用地,1090413,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1150000,649,,0.0,0,,RPXNMLMKNHPFFDD88CA,0.0,0.0,0.0,
鹽水區,房地(土地+建物),臺南市鹽水區中正路121~150號,145.36,商,,,1090217,土地2建物1車位0,全,二層,透天厝,商業用,木造,,117.36,3,2,2,有,無,5500000,46864,,0.0,0,包含公共設施保留地之交易。;,RPOOMLMKNHPFFDD08CA,117.36,0.0,0.0,
新營區,土地,新興段361~390地號,154.84,住,,,1090321,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4200000,27125,,0.0,0,,RPSNMLOKNHPFFDD58CA,0.0,0.0,0.0,
新營區,房地(土地+建物)+車位,臺南市新營區富強街31~60號,23.55,住,,,1090422,土地1建物1車位1,一層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830204,137.7,4,2,2,有,有,3800000,27596,坡道平面,0.0,0,,RPPNMLOKNHPFFDD28CA,85.67,12.46,0.0,
後壁區,土地,侯伯段391~420地號,31.63,住,,,1090428,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,436178,13790,,0.0,0,,RPRNMLLKNHPFFED28CA,0.0,0.0,0.0,
東山區,土地,東正段1~30地號,45.89,住,,,1090426,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1055000,22990,,0.0,0,,RPSNMLLKNHPFFED38CA,0.0,0.0,0.0,
東山區,房地(土地+建物),臺南市東山區東正里東勢181~210號,51.76,住,,,1090413,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0691103,103.1,3,2,1,有,無,1700000,16489,,0.0,0,,RPSNMLMKNHPFFED48CA,103.1,0.0,0.0,
白河區,土地,新興段961~990地號,128.0,住,,,1090415,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2516800,19663,,0.0,0,畸零地或有合併使用之交易。;,RPTNMLMKNHPFFED58CA,0.0,0.0,0.0,
白河區,土地,詔安段151~180地號,52.5,,特定農業區,甲種建築用地,1090504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,397000,7562,,0.0,0,,RPVNMLMKNHPFFED78CA,0.0,0.0,0.0,
白河區,土地,海豐厝段1321~1350地號,1861.0,,特定農業區,農牧用地,1090103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2698450,1450,,0.0,0,,RPXNMLMKNHPFFED98CA,0.0,0.0,0.0,
後壁區,土地,新嘉段931~960地號,938.06,,鄉村區,乙種建築用地,1090420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,3198,,0.0,0,含增建或未登記建物。;,RPSNMLTKNHPFFED56CA,0.0,0.0,0.0,
下營區,土地,大屯寮段571~600地號,86.5,,鄉村區,乙種建築用地,1090427,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,89268,1032,,0.0,0,1.承租人購買2.增值稅及其他相關費用由買受人支付,RPUNMLLKNHPFFFD68CA,0.0,0.0,0.0,
官田區,房地(土地+建物),臺南市官田區官田181~210號,90.8,住,,,1090428,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1081212,140.34,4,2,4,有,無,6500000,46316,,0.0,0,,RPPNMLMKNHPFFFD28CA,118.59,0.0,21.75,
下營區,房地(土地+建物),臺南市下營區新興里慈惠街91~120號,257.4,住,,,1090421,土地1建物1車位0,全,二層,透天厝,住家用,見其他登記事項,1030812,274.76,5,2,2,有,無,9500000,34576,,0.0,0,,RPSOMLNKNHPFFFD78CA,266.97,0.0,7.79,
麻豆區,土地,中興段271~300地號,2.17,住,,,1090420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,139574,64320,,0.0,0,,RPSNMLOKNHPFFFD78CA,0.0,0.0,0.0,
麻豆區,房地(土地+建物),臺南市麻豆區麻豆區東角里3鄰興中路151~180號,104.39,住,,,1090311,土地1建物1車位0,一層，二層，三層，四層，屋頂突出物,四層,店面(店鋪),見其他登記事項,見其他登記事項,1081128,250.28,3,3,4,有,無,25800000,103085,,0.0,0,,RPQNMLRKNHPFFFD88CA,230.94,0.0,19.34,
麻豆區,房地(土地+建物),臺南市麻豆區中興里和平路1~30號,67.0,住,,,1090322,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土加強磚造,0700415,135.23,4,2,2,有,無,3000000,22184,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSNMLSKNHPFFFD56CA,122.73,0.0,12.5,
麻豆區,土地,麻口段961~990地號,121.39,工,,,1090502,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2056401,16940,,0.0,0,,RPPNMLOLNHPFFFD58CA,0.0,0.0,0.0,
麻豆區,房地(土地+建物),臺南市麻豆區麻豆區東角里3鄰興中路151~180號,98.8,住,,,1071024,土地1建物1車位0,一層，二層，三層，四層，屋頂突出物,四層,店面(店鋪),見其他登記事項,見其他登記事項,1081128,240.04,3,3,3,有,無,25800000,107482,,0.0,0,,RPQNMLTJOHPFFFD09CA,220.85,0.0,19.19,
善化區,房地(土地+建物),臺南市善化區什乃1~30號,123.71,,鄉村區,乙種建築用地,1090408,土地2建物1車位0,全,四層,透天厝,住家用,混凝土造,0990824,169.96,4,2,4,有,無,6800000,40009,,0.0,0,含增建或未登記建物。;,RPUNMLLKNHPFFHD88CA,144.01,0.0,25.95,
安定區,土地,六塊寮段1951~1980地號,83.0,,特定農業區,農牧用地,1090327,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,904700,10900,,0.0,0,協議價購,RPUNMLMKNHPFFHD98CA,0.0,0.0,0.0,
