編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLLMQHPFFFK37DA,8,.96,見其他登記事項,見其他登記事項,101年12月12日,十二層,一層
RPUNMLLMQHPFFFK37DA,8,.76,見其他登記事項,見其他登記事項,101年12月12日,十二層,一層
RPUNMLLMQHPFFFK37DA,8,71.77,見其他登記事項,見其他登記事項,101年12月12日,十二層,三層
RPUNMLLMQHPFFFK37DA,8,.11,見其他登記事項,見其他登記事項,101年12月12日,十二層,
RPUNMLLMQHPFFFK37DA,8,11.45,見其他登記事項,見其他登記事項,101年12月12日,十二層,
RPUNMLLMQHPFFFK37DA,8,27.36,見其他登記事項,見其他登記事項,101年12月12日,十二層,
RPUNMLLMQHPFFFK37DA,8,.22,見其他登記事項,見其他登記事項,101年12月12日,十二層,
RPUNMLLMQHPFFFK37DA,8,19.20,見其他登記事項,見其他登記事項,101年12月12日,十二層,
RPUPMLMKQHPFFFK47DA,,100.00,住家用,鋼筋混凝土造,109年7月22日,十五層,十層
RPUPMLMKQHPFFFK47DA,,54.09,見其他登記事項,鋼筋混凝土造,109年7月22日,十五層,
RPUPMLMKQHPFFFK47DA,,22.19,見其他登記事項,鋼筋混凝土造,109年7月22日,十五層,
RPPQMLMKQHPFFFK07DA,,85.36,住家用,鋼筋混凝土造,109年7月22日,十五層,十五層
RPPQMLMKQHPFFFK07DA,,50.77,見其他登記事項,鋼筋混凝土造,109年7月22日,十五層,
RPPQMLMKQHPFFFK07DA,,18.68,見其他登記事項,鋼筋混凝土造,109年7月22日,十五層,
RPWPMLMKQHPFFFK67DA,,100.00,住家用,鋼筋混凝土造,109年7月22日,十五層,十四層
RPWPMLMKQHPFFFK67DA,,54.09,見其他登記事項,鋼筋混凝土造,109年7月22日,十五層,
RPWPMLMKQHPFFFK67DA,,22.19,見其他登記事項,鋼筋混凝土造,109年7月22日,十五層,
RPOQMLMKQHPFFFK96DA,,85.36,住家用,鋼筋混凝土造,109年7月22日,十五層,六層
