鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
花蓮市,房地(土地+建物),花蓮縣花蓮市國民八街1~30號,12.25,商,,,1090523,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080925,72.87,1,2,1,有,有,6390000,87690,,0.0,0,,RPVOMLPKOHPFFAU97CA,43.93,0.0,4.35,
花蓮市,房地(土地+建物),花蓮縣花蓮市明心街31~60號,36.5,住,,,1090529,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850521,128.34,4,2,2,有,無,5600000,43634,,0.0,0,,RPQOMLQKOHPFFAU57CA,102.05,0.0,12.3,
花蓮市,房地(土地+建物),花蓮縣花蓮市長安街1~30號,148.0,住,,,1090601,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1090207,223.7,6,2,5,有,無,17500000,78230,,0.0,0,包含公共設施保留地之交易。;,RPPOMLRKOHPFFAU57CA,211.71,0.0,11.99,
花蓮市,房地(土地+建物),花蓮縣花蓮市福建街241~270號,58.0,住,,,1090513,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0590609,88.8,6,3,3,有,無,4800000,54054,,0.0,0,權利人有兩位.含頂樓增建.,RPQOMLRKOHPFFAU67CA,88.8,0.0,0.0,
花蓮市,房地(土地+建物),花蓮縣花蓮市國民九街91~120號,24.54,商,,,1090514,土地1建物1車位0,一層，二層,六層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0840919,107.60999999999999,1,1,2,有,無,3800000,35313,,0.0,0,,RPVOMLRKOHPFFAU18CA,69.03,1.1,0.0,
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮市富裕七街1~30號,8.35,商,,,1090401,土地1建物1車位1,三層,七層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1090108,52.78,1,1,1,有,無,3380000,64039,一樓平面,0.91,0,,RPSOMLNLOHPFFAU57CA,30.3,0.0,2.8,
新城鄉,土地,嘉平段1621~1650地號,169.0,住,,,1090408,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6500000,38462,,0.0,0,含增建或未登記建物。;,RPSPMLMLOHPFFAU57CA,0.0,0.0,0.0,
花蓮市,房地(土地+建物),花蓮縣花蓮市中正路110巷1~30號,88.0,住,,,1090508,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0660523,109.48,2,2,2,有,無,6300000,57545,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUPMLNLOHPFFAU87CA,109.48,0.0,0.0,
花蓮市,房地(土地+建物),花蓮縣花蓮市國民七街31~60號,3.84,商,,,1090513,土地1建物1車位0,三層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0831115,40.56,1,1,1,有,無,1550000,38215,,0.0,0,,RPOOMLQKOHPFFAU37CA,23.6,0.0,3.86,
新城鄉,房地(土地+建物),花蓮縣新城鄉北埔路109巷31~60號,108.0,住,,,1090528,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1080119,225.9,4,2,5,有,無,12000000,53121,,0.0,0,,RPPPMLSKOHPFFAU77CA,214.9,0.0,11.0,
