編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLTKNHPFFAM27CA,22,31.81,見其他登記事項,鋼筋混凝土造,87年1月6日,四層,地下層
RPQNMLTKNHPFFDM17CA,30,166.97,住家用,鋼筋混凝土造,79年5月12日,三層,一層 二層 三層
RPPNMLPLNHPFFAM09CA,25,93.18,住家用,鋼筋混凝土造,83年11月9日,十六層,二層
RPPNMLPLNHPFFAM09CA,25,14.11,見其他登記事項,鋼筋混凝土造,83年11月9日,十六層,
RPRNMLPLNHPFFAM66CA,19,192.72,農舍,鋼筋混凝土造,89年11月6日,二層,一層 二層 屋頂突出物
RPPNMLSJOHPFFAM66CA,,162.31,住家用,鋼筋混凝土造,108年10月24日,四層,一層 二層 三層 四層
RPVNMLRLNHPFFAM27CA,22,69.30,住家用,鋼筋混凝土造,87年4月14日,七層,七層
RPVNMLRLNHPFFAM27CA,22,19.55,見其他登記事項,鋼筋混凝土造,87年4月14日,七層,
RPVNMLRLNHPFFAM27CA,22,12.81,見其他登記事項,鋼筋混凝土造,87年4月14日,七層,
RPSNMLTKNHPFFAM07CA,1,175.85,見其他登記事項,鋼筋混凝土造,108年8月6日,三層,一層 二層 三層 屋頂突出物
RPVNMLLKOHPFFCM86CA,45,199.66,住商用,鋼筋混凝土加強磚造,64年5月5日,三層,一層 二層 三層 騎樓
RPTNMLPLNHPFFBM96CA,29,87.40,住家用,鋼筋混凝土造,80年9月20日,十一層,九層
RPTNMLPLNHPFFBM96CA,29,14.67,見其他登記事項,鋼筋混凝土造,80年9月20日,十一層,
RPTNMLPLNHPFFBM96CA,29,9.42,見其他登記事項,鋼筋混凝土造,80年9月20日,十一層,
RPTNMLPLNHPFFBM96CA,29,12.18,見其他登記事項,鋼筋混凝土造,80年9月20日,十一層,地下層
RPTNMLPLNHPFFBM96CA,29,10.19,見其他登記事項,鋼筋混凝土造,80年9月20日,十一層,
RPWNMLRLNHPFFAM37CA,1,154.63,見其他登記事項,鋼筋混凝土造,108年5月31日,三層,一層 二層 三層 屋頂突出物
RPWNMLKLNHPFFAM66CA,39,92.84,住家用,鋼筋混凝土造,70年2月16日,二層,一層 二層
RPTNMLOJOHPFFAM66CA,26,.68,見其他登記事項,鋼筋混凝土造,82年11月20日,三層,一層 二層 三層
RPTNMLOJOHPFFAM66CA,26,139.28,住家用,鋼筋混凝土造,82年11月5日,三層,一層 二層 三層 屋頂突出物
RPQNMLRKQHPFFBM07CA,,192.60,住家用,鋼筋混凝土造,109年2月12日,三層,一層 二層 三層 見其他登記事項
RPRNMLRKOHPFFBM07DA,35,126.55,住商用,鋼筋混凝土造,73年12月31日,二層,一層 二層 騎樓
RPUNMLPKOHPFFBM07CA,,202.31,見其他登記事項,鋼筋混凝土造,109年3月9日,三層,一層 二層 三層 見其他登記事項
RPUNMLLLNHPFFCM76CA,39,131.86,住家用,鋼筋混凝土加強磚造,70年1月15日,三層,一層 二層 三層
RPUNMLNJOHPFFBM76CA,39,116.88,住商用,鋼筋混凝土加強磚造,69年12月8日,二層,一層 二層 騎樓
RPQNMLLLNHPFFCM98CA,39,120.00,住商用,鋼筋混凝土加強磚造,70年1月5日,二層,一層 二層 騎樓
RPSNMLQKOHPFFBM96CA,13,1438.90,見其他登記事項,見其他登記事項,96年4月19日,三層,一層 二層 三層 騎樓 見其他登記事項
RPSNMLQKOHPFFBM96CA,13,430.05,停車空間,見其他登記事項,96年4月19日,一層,
RPSNMLQKOHPFFBM96CA,13,158.12,商業用,見其他登記事項,96年4月19日,地下一層,地下一層
RPSNMLQKOHPFFBM96CA,13,47.07,停車空間,見其他登記事項,96年4月19日,一層,
RPPNMLMKOHPFFAM78CA,11,160.35,農舍,見其他登記事項,98年7月21日,04,一層 二層 三層 四層
