鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
草屯鎮,建物,南投縣草屯鎮太平路一段301~330號,0.0,,,,1090615,土地0建物1車位0,地下二層,十二層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0800323,28.5,0,0,0,無,有,0,0,,0.0,0,,SPSNMLRJPHPFFBM17CA,0.0,0.0,0.0,
草屯鎮,房地(土地+建物),南投縣草屯鎮富中路61~90號,32.34,住,,,1090609,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1040825,162.59,4,0,4,有,有,5500000,33827,,0.0,0,,RPPOMLRLPHPFFBM07CA,92.78,0.0,10.29,
南投市,土地,成功段451~480地號,153.01,住,,,1090522,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5880000,38429,,0.0,0,,RPRNMLPKPHPFFAM76CA,0.0,0.0,0.0,
中寮鄉,土地,龍眼林段151~180地號,2500.0,,山坡地保育區,農牧用地,1090601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3860000,1544,,0.0,0,,RPXNMLKKPHPFFAM86CA,0.0,0.0,0.0,
南投市,房地(土地+建物),南投縣南投市中興路466巷1~30號,12.28,住,,,1090516,土地1建物1車位0,十五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831109,108.72,3,2,2,有,無,2520000,23179,,0.0,0,,RPVNMLRJPHPFFAM27CA,82.67,0.0,11.94,
南投市,房地(土地+建物),南投縣南投市自立一路2巷1~30號,75.35,住,,,1090611,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0840418,158.61,4,2,3,有,無,5000000,31524,,0.0,0,,RPUNMLQJPHPFFAM07CA,142.62,2.25,13.74,
名間鄉,土地,名水段661~690地號,93.85,,,,1090527,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,3197,,0.0,0,,RPTNMLTJPHPFFAM27CA,0.0,0.0,0.0,
名間鄉,土地,名水段661~690地號,88.0,,,,1090527,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,3409,,0.0,0,交易總價內有包含土地增值稅2萬元另有增值稅48353元亦由權利人支付未包含在交易總價,RPUNMLTJPHPFFAM37CA,0.0,0.0,0.0,
草屯鎮,土地,北投堡段751~780地號,301.4,,特定農業區,甲種建築用地,1090321,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11213000,37203,,0.0,0,,RPWNMLNKPHPFFBM17CA,0.0,0.0,0.0,
草屯鎮,房地(土地+建物),南投縣草屯鎮碧山路1107巷70弄31~60號,221.5,,鄉村區,乙種建築用地,1090605,土地1建物1車位0,全,四層,透天厝,住家用,見其他登記事項,0860809,330.52,6,3,6,有,無,16200000,49014,,0.0,0,,RPXNMLNKPHPFFBM27CA,312.18,5.28,13.06,
草屯鎮,房地(土地+建物),南投縣草屯鎮碧峰路336巷1~30號,2800.0,,特定農業區,農牧用地,1090506,土地1建物1車位0,一層，二層，三層,三層,農舍,農舍,見其他登記事項,0990305,394.39,8,2,5,有,無,45500000,,,0.0,0,含增建或未登記建物。;分別為:1樓鋼筋混凝土建物乙棟 面積約15坪。1樓鋼構建物乙棟 面積約300坪。,RPQNMLRLPHPFFBM07CA,378.99,0.0,15.4,
