鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
新竹市,房地(土地+建物)+車位,新竹市新竹市公道五路二段331~360號,35.49,住,,,1090324,土地1建物1車位2,七層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0961206,207.22,3,2,2,有,有,16200000,78178,坡道平面,0.0,0,,RPXNMLPLNHPFFAO47CA,95.07,9.28,13.45,
新竹市,房地(土地+建物),新竹市新竹市大庄路86巷5弄1~30號,22.09,住,,,1090401,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830301,97.3,3,2,2,有,有,4270000,43885,,0.0,0,,RPTNMLQLNHPFFAO17CA,71.47,0.0,9.77,
新竹市,房地(土地+建物)+車位,新竹市新竹市八德路211~240號,32.75,其他,,,1090411,土地1建物1車位2,十三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0971126,227.43,4,2,2,有,有,18180000,99442,坡道平面,51.65,700000,,RPQQMLTJOHPFFAO37CA,109.04,13.25,11.8,
新竹市,房地(土地+建物),新竹市新竹市仁愛街61~90號,32.67,住,,,1090405,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711224,86.91,3,2,2,有,無,7000000,80543,,0.0,0,,RPOOMLKKOHPFFAO78CA,86.91,0.0,0.0,
新竹市,房地(土地+建物),新竹市新竹市閑谷街51巷31~60號,252.48,,山坡地保育區,丙種建築用地,1080114,土地7建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090303,203.71,4,2,3,有,有,11650000,57189,,0.0,0,,RPTPMLSLPHPFFAO97EA,184.16,0.0,19.56,
新竹市,房地(土地+建物),新竹市新竹市閑谷街51巷31~60號,222.98,,山坡地保育區,丙種建築用地,1080113,土地7建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090303,199.18,4,2,3,有,有,11150000,55980,,0.0,0,,RPVPMLSLPHPFFAO18EA,179.79,0.0,19.4,
新竹市,房地(土地+建物),新竹市新竹市閑谷街51巷31~60號,222.98,,山坡地保育區,丙種建築用地,1080309,土地7建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090303,199.18,4,2,3,有,有,10980000,55126,,0.0,0,,RPUQMLSLPHPFFAO18EA,179.79,0.0,19.4,
新竹市,房地(土地+建物),新竹市新竹市閑谷街51巷31~60號,236.79,,山坡地保育區,丙種建築用地,1080113,土地7建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090303,199.18,4,2,3,有,有,11220000,56331,,0.0,0,,RPWQMLSLPHPFFAO38EA,179.79,0.0,19.4,
新竹市,房地(土地+建物),新竹市新竹市閑谷街51巷31~60號,247.48,,山坡地保育區,丙種建築用地,1071231,土地7建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090303,199.32,4,2,3,有,有,11980000,60104,,0.0,0,,RPXQMLSLPHPFFAO48EA,179.79,0.0,19.54,
新竹市,房地(土地+建物),新竹市新竹市閑谷街51巷31~60號,228.88,,山坡地保育區,丙種建築用地,1071228,土地7建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090303,199.32,4,2,3,有,有,11200000,56191,,0.0,0,,RPORMLSLPHPFFAO67EA,179.79,0.0,19.54,
新竹市,房地(土地+建物),新竹市新竹市閑谷街51巷31~60號,231.12,,山坡地保育區,丙種建築用地,1080118,土地7建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090303,199.32,4,2,3,有,有,11750000,58950,,0.0,0,,RPPRMLSLPHPFFAO77EA,179.79,0.0,19.54,
新竹市,房地(土地+建物),新竹市新竹市閑谷街51巷31~60號,218.62,,山坡地保育區,丙種建築用地,1080201,土地7建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090303,196.5,4,2,3,有,有,11520000,58626,,0.0,0,,RPQRMLSLPHPFFAO87EA,177.01,0.0,19.5,
新竹市,房地(土地+建物),新竹市新竹市閑谷街51巷31~60號,241.73,,山坡地保育區,丙種建築用地,1080115,土地8建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090303,208.36,4,2,3,有,有,12340000,59224,,0.0,0,,RPTRMLSLPHPFFAO18EA,185.72,0.0,22.65,
新竹市,房地(土地+建物)+車位,新竹市新竹市振興路1~30號,67.03,住,,,1090409,土地1建物1車位1,三層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0830708,219.57999999999998,4,2,3,有,無,9550000,43492,一樓平面,0.0,0,含增建或未登記建物。;增建電梯,RPUOMLTLNHPFFAO67CA,162.94,0.0,33.72,
新竹市,房地(土地+建物)+車位,新竹市新竹市民主路57巷1~30號,37.13,住,,,1090312,土地1建物1車位1,二層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1040416,144.37,2,2,2,有,有,14800000,102514,坡道平面,0.0,0,,RPQOMLMJOHPFFAO09CA,86.65,0.0,10.24,
新竹市,房地(土地+建物),新竹市新竹市明湖路1050巷121~150號,26.83,,山坡地保育區,丙種建築用地,1090403,土地3建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831114,92.71,4,2,3,有,有,2650000,28584,,0.0,0,含增建或未登記建物。;急買急賣。;增建部份為夾層,RPUNMLOLNHPFFAO07CA,42.98,0.0,6.68,
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路四段271~300號,16.34,住,,,1090414,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040505,127.9,2,2,1,有,有,7200000,56294,坡道平面,31.93,0,,RPPOMLOLNHPFFAO66CA,56.5,3.54,7.79,
新竹市,房地(土地+建物),新竹市新竹市明湖路1005巷1~30號,444.71,其他,,,1090327,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼骨鋼筋混凝土造,0891220,346.01,5,2,3,有,有,22800000,65894,,0.0,0,,RPRPMLPLNHPFFAO07CA,342.81,0.0,3.2,
