鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
五結鄉,房地(土地+建物),宜蘭縣五結鄉大興路187巷80弄1~30號,127.34,住,,,1090302,土地4建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1070830,216.82,4,2,4,有,無,16800000,77484,,0.0,0,,RPOOMLLKNHPFFAG97CA,196.63,0.0,20.19,
五結鄉,土地,中福段1051~1080地號,3020.0,工,,,1090401,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,80000000,26490,,0.0,0,,RPUPMLLKNHPFFAG68CA,0.0,0.0,0.0,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉順安路240巷1~30號,17.83,,特定農業區,甲種建築用地,1090409,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840616,64.67,2,1,1,有,無,2100000,32473,,0.0,0,,RPSOMLMKNHPFFAG48CA,54.85,0.0,8.67,
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮康莊路33巷1~30號,17.97,住,,,1090401,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850902,109.21000000000001,2,2,2,有,有,4150000,38000,坡道機械,0.0,0,,RPRPMLMKNHPFFAG48CA,66.8,0.0,12.06,
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮蘇東中路1~30號,3.17,商,,,1090422,土地2建物1車位0,十層,十一層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0720719,32.449999999999996,1,0,1,有,無,400000,12327,,0.0,0,,RPWPMLMKNHPFFAG98CA,25.74,0.0,0.0,
冬山鄉,土地,內城段781~810地號,850.74,,山坡地保育區,農牧用地,1090226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1930125,2269,,0.0,0,,RPTNMLOKNHPFFAG68CA,0.0,0.0,0.0,
冬山鄉,土地,內城段781~810地號,850.75,,山坡地保育區,農牧用地,1090226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1930125,2269,,0.0,0,,RPUNMLOKNHPFFAG78CA,0.0,0.0,0.0,
冬山鄉,土地,山明段181~210地號,47.08,住,,,1090417,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2420000,51402,,0.0,0,,RPPOMLOKNHPFFAG38CA,0.0,0.0,0.0,
五結鄉,房地(土地+建物),宜蘭縣五結鄉中興路三段19巷8弄1~30號,110.25,住,,,1090425,土地3建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1081023,202.24,3,2,4,有,無,13180000,65170,,0.0,0,,RPSNMLQKNHPFFAG78CA,180.36,0.0,21.88,
五結鄉,房地(土地+建物),宜蘭縣五結鄉中興路三段19巷16弄1~30號,135.36,住,,,1090411,土地4建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1081023,197.77,3,2,4,有,無,14600000,73823,,0.0,0,,RPTNMLQKNHPFFAG88CA,181.04,0.0,16.73,
五結鄉,房地(土地+建物),宜蘭縣五結鄉親河路二段103巷3弄1~30號,83.84,,特定農業區,甲種建築用地,1090411,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0831026,220.48,4,2,5,有,無,8400000,38099,,0.0,0,,RPVNMLPKNHPFFAG98CA,167.25,53.23,0.0,
五結鄉,房地(土地+建物),宜蘭縣五結鄉自強路42巷31~60號,97.0,住,,,1090317,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0940413,205.8,4,2,3,有,無,11500000,55879,,0.0,0,,RPWNMLPKNHPFFAG09CA,167.39,18.48,19.93,
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮博愛路1~30號,40.29,住,,,1090403,土地5建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1080903,176.66,3,2,2,有,有,11500000,65097,坡道平面,0.0,0,,RPUNMLQLNHPFFAG09CA,89.58,3.4,9.24,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉冬山路一段37巷9弄1~30號,218.39,,風景區,丙種建築用地,1090327,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0841106,205.62,8,1,6,有,無,8100000,39393,,0.0,0,增建:一樓空地，頂樓及露台。,RPUOMLTLNHPFFAG86CA,184.56,15.21,5.85,
五結鄉,房地(土地+建物),宜蘭縣五結鄉國民南路1~30號,165.74,,特定農業區,甲種建築用地,1090415,土地4建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1080902,237.62,5,2,5,有,無,16800000,70701,,0.0,0,,RPWOMLTLNHPFFAG07CA,223.97,0.0,13.65,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市力行路106巷1~30號,20.0,住,,,1090411,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830207,135.93,3,2,2,有,有,5000000,36784,升降平面,0.0,0,,RPSOMLMKNHPFFBG58CA,90.08,0.0,6.7,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市西後街133巷1~30號,57.85,商,,,1090328,土地3建物1車位0,二層,三層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土加強磚造,0670808,65.27,0,0,1,有,無,2000000,30642,,0.0,0,,RPXNMLLKNHPFFBG88CA,65.27,0.0,0.0,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市幸福路61~90號,91.66,住,,,1090409,土地1建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土加強磚造,0620721,68.45,3,2,2,有,無,6800000,99343,,0.0,0,一樓空地及頂樓增建,RPTOMLOKNHPFFBG88CA,68.45,0.0,0.0,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市東港路一段271~300號,112.76,農,,,1090405,土地2建物1車位0,一層，二層，三層，地下一層，見其他登記事項,三層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1050701,305.77000000000004,4,2,4,有,無,23000000,75220,,0.0,0,,RPXNMLRLNHPFFBG96CA,266.18,1.2,15.48,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉德陽路62巷1~30號,14.87,住,,,1090421,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0981008,68.43,2,1,1,有,有,6000000,87681,,0.0,0,增建夾層。,RPPPMLTLNHPFFBG56CA,28.62,3.05,7.18,
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市女中路三段59巷1~30號,19.32,住,,,1090418,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840426,106.68,4,2,4,有,無,5500000,51556,升降機械,0.0,0,,RPSNMLMKNHPFFBG68EA,72.59,0.0,11.52,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市茭白一路42巷1~30號,151.47,農,,,1090423,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050205,217.79,4,2,5,有,無,11200000,51426,,0.0,0,,RPPNMLOKNHPFFBG58EA,202.13,0.0,15.66,
