編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPXNMLQJPHPFFAX58DA,22,53.54,住家用,鋼筋混凝土造,87年9月25日,七層,五層
RPXNMLQJPHPFFAX58DA,22,53.54,住家用,鋼筋混凝土造,87年9月25日,七層,五層
RPROMLNJPHPFFAX87EA,1,194.42,住家用,鋼筋混凝土造,108年7月3日,三層,一層 二層 三層 見其他登記事項
RPXOMLNJPHPFFAX38DA,,14.10,住家用,見其他登記事項,2年0月0日,一層,一層
RPXOMLNJPHPFFAX38DA,,14.10,住家用,見其他登記事項,2年0月0日,一層,一層
RPXOMLNJPHPFFAX38DA,,14.10,住家用,見其他登記事項,2年0月0日,一層,一層
RPWNMLLJPHPFFAX97DA,26,11.00,見其他登記事項,鋼筋混凝土造,83年3月3日,七層,
RPWNMLLJPHPFFAX97DA,26,5.98,見其他登記事項,鋼筋混凝土造,83年3月3日,七層,
RPWNMLLJPHPFFAX97DA,26,60.86,住家用,鋼筋混凝土造,83年3月3日,七層,三層
RPVNMLMJPHPFFAX97DA,,56.93,住家用,見其他登記事項,,一層,一層
RPTNMLOKPHPFFAX97CA,4,163.74,農舍,加強磚造,104年5月15日,一層,一層
RPPNMLSJPHPFFAX97DA,43,70.50,住家用,鋼筋混凝土加強磚造,66年2月5日,一層,一層 電梯樓梯間
RPVNMLKKPHPFFAX87DA,43,126.00,住家用,見其他登記事項,66年10月7日,二層,一層 二層 夾層
RPWNMLNKPHPFFAX38EA,3,79.82,見其他登記事項,鋼筋混凝土造,106年3月28日,十層,三層
RPWNMLNKPHPFFAX38EA,3,33.43,見其他登記事項,鋼筋混凝土造,106年3月28日,十層,
RPRNMLOKPHPFFAX87DA,26,86.81,住家用,鋼筋混凝土造,83年6月1日,七層,七層
RPRNMLOKPHPFFAX87DA,26,6.48,見其他登記事項,鋼筋混凝土造,83年6月1日,七層,
RPRNMLOKPHPFFAX87DA,26,15.88,見其他登記事項,鋼筋混凝土造,83年6月1日,七層,
RPPNMLQKPHPFFAX97EA,,18.82,住家用,見其他登記事項,,一層,一層
RPWNMLNKPHPFFAX28DA,45,97.00,住家用,鋼筋混凝土加強磚造,64年9月1日,二層,一層 二層
RPSOMLQKPHPFFAX28DA,14,114.80,見其他登記事項,鋼筋混凝土造,95年6月29日,十四層,三層
RPSOMLQKPHPFFAX28DA,14,77.87,共用部份,鋼筋混凝土造,95年6月29日,十四層,
RPPNMLTKPHPFFAX18DA,32,114.68,住家用,鋼筋混凝土加強磚造,77年6月22日,二層,一層 二層 電梯樓梯間
RPPNMLMLPHPFFAX57DA,13,174.48,住家用,鋼筋混凝土造,96年10月2日,三層,一層 二層 三層
RPTNMLKKPHPFFAX67DA,42,79.07,住家用,鋼筋混凝土加強磚造,67年10月9日,二層,一層 二層 電梯樓梯間
RPUNMLOKPHPFFAX18DA,29,148.65,住家用,鋼筋混凝土造,80年8月2日,三層,一層 二層 三層 電梯樓梯間
RPWNMLNLPHPFFAX38DA,,288.05,住家用,鋼筋混凝土造,109年5月8日,三層,一層 二層 三層 見其他登記事項
RPQNMLTLPHPFFAX38DA,,37.68,見其他登記事項,鋼筋混凝土造,,五層,
RPQNMLTLPHPFFAX38DA,26,133.15,住家用,鋼筋混凝土造,84年1月10日,五層,四層
