鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
桃園區,房地(土地+建物),桃園市桃園區中正路1261~1290號,29.36,住,,,1090403,土地1建物1車位0,見其他登記事項,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,0780113,89.0,0,0,0,無,無,有,48000,539,,0.0,0,,RPQPMLMKNHPFFAH68CC
桃園區,房地(土地+建物),桃園市桃園區大興路192巷1~30號,55.6,住,,,1090422,土地1建物1車位0,一層,12,店面(店鋪),住商用,鋼筋混凝土造,0840623,135.5,0,0,0,無,有,有,19000,140,,0.0,0,,RPRPMLMKNHPFFAH78CC
桃園區,建物,桃園市桃園區南平路571~600號,0.0,住,,,1090408,土地0建物1車位0,六層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0880902,29.8,1,0,1,有,無,有,7000,235,,0.0,0,押金4月7000  5、6月各付3500租賃面積含公設,RPVPMLMKNHPFFAH56CC
桃園區,建物,桃園市桃園區德華街31~60號,0.0,住,,,1090424,土地0建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961025,188.41,4,2,2,有,有,有,22000,117,坡道平面,31.1,0,租金含管理費。,RPOQMLMKNHPFFAH58CC
平鎮區,建物,桃園市平鎮區廣平街121~150號,0.0,住,,,1090418,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0590715,104.77,0,4,4,有,無,無,19900,190,,0.0,0,含增建或未登記建物。;房屋用途做住家及辦公室使用。,RPTNMLNKNHPFFGH86CC
八德區,建物,桃園市八德區仁德一路121~150號,0.0,住,,,1090428,土地0建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030811,101.67,2,1,1,有,有,有,10300,101,,0.0,0,,RPQNMLNKNHPFFFH09CC
平鎮區,建物,桃園市平鎮區日星街43巷1~30號,0.0,住,,,1090430,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701230,90.19,3,1,1,有,無,有,8500,94,,0.0,0,,RPQOMLOKNHPFFGH76CC
蘆竹區,房地(土地+建物),桃園市蘆竹區南崁路175巷1~30號,22.56,住,,,1090513,土地1建物1車位0,三層,6,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0860707,45.0,0,0,0,無,有,無,11000,244,,0.0,0,急出租急承租。;,RPRNMLOKNHPFFEH56CC
蘆竹區,房地(土地+建物),桃園市蘆竹區南崁路175巷1~30號,22.56,住,,,1090513,土地1建物1車位0,三層,6,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0860707,45.0,0,0,0,無,有,無,11000,244,,0.0,0,急出租急承租。;,RPSNMLOKNHPFFEH66CC
大園區,建物,桃園市大園區崁下61~90號,0.0,,一般農業區,甲種建築用地,1090429,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0691110,83.3,3,2,2,有,無,無,9400,113,,0.0,0,,RPWPMLOKNHPFFEH27CC
楊梅區,建物,桃園市楊梅區金山街368巷31~60號,0.0,住,,,1090416,土地0建物1車位1,三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060802,157.29,3,2,2,有,有,有,20000,127,坡道平面,29.75,0,,RPPOMLOKNHPFFDH98CC
