鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
金沙鎮,房地(土地+建物),金門縣金沙鎮新前墩1~30號,201.88,其他,,,1090331,土地2建物1車位0,全,一層,透天厝,住家用,見其他登記事項,0570701,81.65,2,1,1,有,無,5700000,69810,,0.0,0,,RPQNMLPLNHPFFAW57CA,77.17,0.0,4.48,
金寧鄉,土地,寧湖二劃測段181~210地號,1347.04,農,,,1090513,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9000000,6681,,0.0,0,,RPRNMLPLNHPFFAW67CA,0.0,0.0,0.0,
金湖鎮,房地(土地+建物),金門縣金湖鎮塔后301~330號,48.06,其他,,,1090416,土地1建物1車位0,三層,四層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1081002,111.85,3,2,2,有,無,6450000,57667,,0.0,0,,RPSNMLPLNHPFFAW77CA,80.85,0.0,7.59,
金沙鎮,土地,沙溪一劃段121~150地號,902.09,農,,,1090511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3900000,4323,,0.0,0,,RPUNMLPLNHPFFAW97CA,0.0,0.0,0.0,
金城鎮,土地,旗牌段181~210地號,1083.0,農,,,1090512,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10500000,9695,,0.0,0,,RPPNMLQLNHPFFAW57CA,0.0,0.0,0.0,
金城鎮,土地,北一段361~390地號,500.55,農,,,1090512,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,11987,,0.0,0,,RPQNMLQLNHPFFAW67CA,0.0,0.0,0.0,
金寧鄉,土地,寧安四劃段331~360地號,1506.0,農,,,1090506,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4350000,2888,,0.0,0,親友、員工或其他特殊關係間之交易。;受債權債務影響或債務抵償之交易。;,RPQNMLSLNHPFFAW87CA,0.0,0.0,0.0,
金寧鄉,房地(土地+建物)+車位,金門縣金寧鄉湖下211~240號,61.96,其他,,,1090509,土地2建物1車位1,三層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1061101,146.54999999999998,3,2,2,有,無,5100000,34800,坡道平面,12.3,0,,RPPNMLSLNHPFFAW77CA,79.81,0.0,11.01,
金沙鎮,房地(土地+建物),金門縣金寧鄉頂埔下91~120號,1245.82,其他,,,1090520,土地5建物1車位0,一層，二層，三層,三層,其他,見其他登記事項,鋼筋混凝土造,1040401,169.41,4,2,4,有,無,13000000,76737,,0.0,0,集村農舍,RPRNMLQLNHPFFAW77CA,166.41,0.0,3.0,
金城鎮,房地(土地+建物),金門縣金城鎮東沙1~30號,52.08,其他,,,1090505,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1060410,93.6,2,2,2,有,無,4800000,51282,,0.0,0,,RPPNMLRLNHPFFAW67CA,81.19,0.0,0.0,
金城鎮,土地,歐厝段1~30地號,351.36,農,,,1090518,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,5692,,0.0,0,,RPQNMLOJOHPFFAW37CA,0.0,0.0,0.0,
金城鎮,土地,中一段391~420地號,817.97,農,,,1090519,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10715407,13100,,0.0,0,,RPPNMLLJOHPFFAW96CA,0.0,0.0,0.0,
金城鎮,土地,中一段391~420地號,413.52,農,,,1090519,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5417112,13100,,0.0,0,,RPQNMLLJOHPFFAW07CA,0.0,0.0,0.0,
金寧鄉,房地(土地+建物),金門縣金寧鄉頂林路781~810號,1000.03,農,,,1090526,土地1建物1車位0,一層，二層，屋頂突出物,二層,農舍,農舍,鋼筋混凝土造,1010809,218.01,20,0,20,有,無,11200000,,,0.0,0,,RPQNMLTLNHPFFAW97CA,201.42,0.0,16.59,
金城鎮,房地(土地+建物),金門縣金城鎮金門城1~30號,31.92,其他,,,1090523,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1040216,60.15,2,1,2,有,無,3800000,63175,,0.0,0,,RPTNMLPJOHPFFAW77CA,51.45,0.0,4.35,
金城鎮,土地,祥瑞段301~330地號,1.09,住,,,1090521,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,150000,137615,,0.0,0,畸零地或有合併使用之交易。;,RPPNMLMJOHPFFAW17DA,0.0,0.0,0.0,
烈嶼鄉,土地,沙溪測段1~30地號,592.68,農,,,1090601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,2025,,0.0,0,,RPXNMLPJOHPFFAW28DA,0.0,0.0,0.0,
金寧鄉,土地,寧湖三劃段721~750地號,453.75,其他,,,1090527,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4990000,10997,,0.0,0,,RPRNMLPJOHPFFAW57CA,0.0,0.0,0.0,
金湖鎮,房地(土地+建物),金門縣金湖鎮東村1~30號,77.86,其他,,,1090526,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1040804,144.34,4,2,3,有,無,7000000,48497,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：;,RPQNMLNJOHPFFAW27CA,141.79,0.0,2.55,
