編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOQMLSJPHPFFAA48DA,13,56.29,住家用,鋼筋混凝土造,96年5月21日,七層,七層
RPOQMLSJPHPFFAA48DA,13,20.53,共有部分,鋼筋混凝土造,96年5月21日,七層,
RPSQMLRJPHPFFAA78DA,27,24.21,住家用,鋼筋混凝土造,82年9月8日,十層,四層
RPSQMLRJPHPFFAA78DA,27,10.29,共有部分,鋼筋混凝土造,82年9月8日,十層,
RPQNMLTJPHPFFAA48DA,,83.74,住家用,加強磚造,,四層,四層
RPWPMLNJPHPFFAA68DA,51,88.74,住家用,加強磚造,58年4月10日,四層,一層
RPPQMLSJPHPFFAA58DA,45,66.03,,鋼筋混凝土造,64年3月27日,四層,三層 陽臺
RPSOMLQJPHPFFAA48DA,39,121.95,住家用,鋼筋混凝土造,70年2月2日,五層,五層
RPSOMLQJPHPFFAA48DA,39,23.47,共有部分,鋼筋混凝土造,70年2月2日,五層,
RPXOMLNJPHPFFAA68DA,3,174.83,見其他登記事項,鋼骨鋼筋混凝土造,106年4月25日,二十四層,六層
RPXOMLNJPHPFFAA68DA,3,77.07,見其他登記事項,鋼骨鋼筋混凝土造,106年4月25日,二十四層,
RPXOMLNJPHPFFAA68DA,3,10.73,見其他登記事項,鋼骨鋼筋混凝土造,106年4月25日,二十四層,
RPXVMLSJPHPFFBA37DA,45,33.93,商業用,鋼筋混凝土造,64年2月24日,四層,一層
RPSNMLTJPHPFFBA78DA,41,24.94,住商用,鋼筋混凝土造,68年4月19日,十一層,六層
RPSNMLTJPHPFFBA78DA,41,4.31,共有部分,鋼筋混凝土造,68年4月19日,十一層,
RPRNMLKLOHPFFBA87DA,45,35.30,住家用,鋼筋混凝土造,64年7月21日,四層,三層
RPRNMLKLOHPFFBA87DA,45,35.30,住家用,鋼筋混凝土造,64年7月21日,四層,三層
RPRNMLKLOHPFFBA87DA,45,17.65,住家用,鋼筋混凝土造,64年7月21日,四層,三層
RPVWMLSJPHPFFBA27DA,4,60.22,住家用,見其他登記事項,105年3月31日,二十六層,二十三層
RPVWMLSJPHPFFBA27DA,4,2.45,見其他登記事項,見其他登記事項,105年3月31日,二十六層,一層 二層
RPVWMLSJPHPFFBA27DA,4,64.94,見其他登記事項,見其他登記事項,105年3月31日,二十六層,
RPVWMLSJPHPFFBA27DA,4,1.00,見其他登記事項,見其他登記事項,105年3月31日,二十六層,
RPRQMLKMPHPFFDA48CA,27,78.21,見其他登記事項,鋼筋混凝土造,82年3月23日,十二層,六層
RPRQMLKMPHPFFDA48CA,27,22.45,共有部分,鋼筋混凝土造,82年3月23日,十二層,
RPPPMLTJPHPFFCA78DA,35,109.69,住家用,鋼筋混凝土造,74年10月12日,七層,四層
RPPPMLTJPHPFFCA78DA,35,13.44,共有部分,鋼筋混凝土造,74年10月12日,七層,
RPPPMLTJPHPFFCA78DA,35,.84,共有部分,鋼筋混凝土造,74年10月12日,七層,
RPXOMLTJPHPFFCA86DA,1,33.87,住家用,鋼筋混凝土造,108年11月25日,七層,五層
RPXOMLTJPHPFFCA86DA,1,23.91,見其他登記事項,鋼筋混凝土造,108年11月25日,七層,
