編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLTKJIOFFAV97CA,42,97.02,住家用,見其他登記事項,66年6月16日,二層,一層 二層 騎樓
RPQNMLNJKIOFFAV76CA,45,38.63,住家用,見其他登記事項,64年3月21日,一層,一層
RPSNMLMLJIOFFCV17CA,,93.62,住家用,加強磚造,,二層,一層 二層
RPRNMLLLJIOFFAV76CA,,57.83,住家用,見其他登記事項,,二層,一層 二層 騎樓
RPPNMLLLJIOFFAV56CA,23,44.07,見其他登記事項,鋼筋混凝土造,85年6月28日,九層,五層
RPPNMLLLJIOFFAV56CA,23,9.21,見其他登記事項,鋼筋混凝土造,85年6月28日,九層,
RPPNMLLLJIOFFAV56CA,23,5.47,見其他登記事項,鋼筋混凝土造,85年6月28日,九層,
RPPNMLNLJIOFFDV07CA,25,31.54,見其他登記事項,鋼筋混凝土造,83年9月30日,八層,八層
RPPNMLNLJIOFFDV07CA,25,6.07,見其他登記事項,鋼筋混凝土造,83年9月30日,八層,
RPPNMLMLJIOFFAV66CA,7,268.24,住家用,見其他登記事項,101年6月15日,四層,一層 二層 三層 四層
RPXNMLLLJIOFFAV37CA,25,191.70,住家用,鋼筋混凝土造,83年6月14日,三層,一層 二層 三層
RPPNMLPLJIOFFAV96CA,24,190.48,住家用,鋼筋混凝土造,84年10月26日,四層,一層 二層 三層 四層
RPUNMLPLJIOFFAV47CA,46,110.70,住家用,見其他登記事項,63年3月14日,二層,一層 二層
RPVNMLPLJIOFFAV57CA,25,204.39,住商用,鋼筋混凝土造,84年1月28日,四層,一層 二層 三層 四層
RPUNMLRLJIOFFAV67CA,12,247.33,見其他登記事項,見其他登記事項,97年1月9日,三層,一層 二層 三層
RPPNMLQLJIOFFAV17DA,2,264.14,見其他登記事項,見其他登記事項,106年10月31日,四層,一層 二層 三層 四層 見其他登記事項
RPPNMLMJKIOFFBV66CA,35,132.04,見其他登記事項,加強磚造,73年12月1日,一層,一層 騎樓
RPPOMLPLJIOFFAV07CA,8,205.20,見其他登記事項,見其他登記事項,100年5月13日,三層,一層 二層 三層 見其他登記事項
RPVNMLOJKIOFFAV37CA,1,265.05,見其他登記事項,見其他登記事項,107年11月13日,三層,一層 二層 三層 見其他登記事項
RPVNMLMJKIOFFAV17CA,23,95.25,住家用,鋼筋混凝土造,85年6月28日,七層,六層
RPVNMLMJKIOFFAV17CA,23,5.20,見其他登記事項,鋼筋混凝土造,85年6月28日,七層,
RPVNMLMJKIOFFAV17CA,23,4.18,見其他登記事項,鋼筋混凝土造,85年6月28日,七層,
RPVNMLMJKIOFFAV17CA,23,16.01,見其他登記事項,鋼筋混凝土造,85年6月28日,七層,
RPVNMLMJKIOFFAV17CA,23,8.69,見其他登記事項,鋼筋混凝土造,85年6月28日,七層,
RPQNMLOJKIOFFCV07CA,42,121.69,住商用,見其他登記事項,66年7月15日,二層,一層 二層 騎樓
RPUNMLRLJIOFFBV77CA,33,102.56,住家用,加強磚造,75年6月30日,二層,一層 二層 騎樓
RPWNMLRLJIOFFAV87CA,28,173.83,住家用,鋼筋混凝土造,81年1月11日,三層,一層 二層 三層
RPRNMLSLJIOFFAV47CA,,69.89,商業用,見其他登記事項,,一層,一層 騎樓
RPRNMLSLJIOFFAV47CA,40,149.82,住家用,加強磚造,68年5月24日,三層,二層 三層
